id_contrato,data_originacao,valor_bem,valor_entrada,valor_financiado,ltv,prazo_meses,taxa_juros_am,parcela_mensal,comprometimento_renda,canal_originacao,ano_modelo,idade_veiculo_anos,idade_cliente,ocupacao,renda_mensal_declarada,tempo_emprego_meses,tipo_residencia,score_bureau,qtd_restricoes_ativas,qtd_consultas_bureau_3m,possui_avalista,qtd_parcelas_em_atraso_12m
T000754,2025-01-01,88600.0,23558.74,65041.26,0.7341,36,0.0165,2410.54,0.4489,Digital,2022,3,40,CLT,5370.0,84.0,Própria,570.0,0,2,Não,0
T000755,2025-01-01,32300.0,10649.31,21650.69,0.6703,36,0.01469,778.69,0.3151,Concessionária,2019,6,24,CLT,2470.95,72.0,Própria,938.0,0,1,Não,0
T000756,2025-01-01,55800.0,28351.98,27448.02,0.4919,36,0.01612,1010.92,0.2191,Revenda multimarca,2020,5,25,CLT,4614.53,,Familiar,481.0,1,3,Sim,0
T000757,2025-06-01,88600.0,25419.34,63180.66,0.7131,36,0.01716,2367.12,0.3853,Correspondente bancário,2024,1,49,CLT,6142.92,,Familiar,887.0,0,0,Não,0
T000758,2025-01-01,41300.0,5943.07,35356.93,0.8561,24,0.01514,1768.03,0.224,Concessionária,2016,9,35,CLT,7893.35,42.0,Própria,610.0,1,0,Não,0
T000759,2025-01-01,22000.0,3700.4,18299.6,0.8318,24,0.01571,921.14,0.1829,Revenda multimarca,2013,12,32,Servidor público,,,Alugada,546.0,1,1,Não,0
T000760,2025-04-01,43700.0,17108.55,26591.45,0.6085,48,0.01565,792.0,0.2088,Concessionária,2014,11,44,CLT,3793.52,27.0,Própria,631.0,0,4,Não,0
T000761,2025-01-01,34000.0,3777.4,30222.6,0.8889,60,0.01534,774.18,0.2173,Concessionária,2018,7,34,Autônomo,3563.37,23.0,Alugada,680.0,2,0,Não,0
T000762,2025-01-01,64000.0,8396.8,55603.2,0.8688,48,0.01766,1727.54,0.0997,Correspondente bancário,2023,2,52,Empresário,17335.78,19.0,Financiada,644.0,0,2,Sim,0
T000763,2025-06-01,44400.0,5483.4,38916.6,0.8765,48,0.0164,1177.62,0.1679,Concessionária,2024,1,51,CLT,7015.24,31.0,Própria,893.0,0,0,Não,0
T000764,2025-01-01,25300.0,6838.59,18461.41,0.7297,36,0.01629,681.85,0.275,Digital,2023,2,34,CLT,2479.63,7.0,Própria,460.0,1,3,Não,0
T000765,2025-05-01,35900.0,4308.0,31592.0,0.88,48,0.01604,948.74,0.2612,Concessionária,2013,12,39,CLT,3632.41,,Própria,470.0,1,4,Não,0
T000766,2025-02-01,24200.0,1815.0,22385.0,0.925,48,0.01577,668.42,0.3834,Digital,2015,10,29,Autônomo,1743.35,17.0,Própria,560.0,1,0,Não,0
T000767,2025-02-01,36500.0,7278.1,29221.9,0.8006,36,0.01645,1082.12,0.1301,Digital,2014,11,47,Empresário,8314.69,61.0,Alugada,486.0,2,3,Sim,0
T000768,2025-06-01,75100.0,9222.28,65877.72,0.8772,60,0.01538,1689.25,0.1695,Digital,2016,9,28,Servidor público,9963.35,62.0,Familiar,512.0,1,1,Não,0
T000769,2025-02-01,22000.0,1643.4,20356.6,0.9253,60,0.01446,509.77,0.3186,Concessionária,2022,3,28,CLT,1600.0,10.0,Própria,632.0,1,1,Sim,0
T000770,2025-02-01,23500.0,3123.15,20376.85,0.8671,36,0.01515,738.51,0.309,Digital,2025,0,75,Autônomo,2389.94,50.0,Alugada,545.0,0,1,Não,0
T000771,2025-05-01,22000.0,5409.8,16590.2,0.7541,36,0.01593,609.1,0.2437,Concessionária,2018,7,37,Autônomo,2499.7,71.0,Alugada,516.0,1,2,Não,0
T000772,2025-04-01,24900.0,1479.06,23420.94,0.9406,24,0.01576,1179.62,0.1123,Concessionária,2022,3,33,CLT,10508.47,123.0,Financiada,479.0,1,2,Sim,0
T000773,2025-06-01,43200.0,18744.48,24455.52,0.5661,48,0.01664,743.77,0.1957,Digital,2021,4,75,Autônomo,3801.32,64.0,Alugada,638.0,1,0,Sim,0
T000774,2025-05-01,71500.0,16251.95,55248.05,0.7727,48,0.0159,1654.26,0.3561,Revenda multimarca,2024,1,35,CLT,4645.7,63.0,Familiar,701.0,1,3,Não,0
T000775,2025-02-01,53200.0,19636.12,33563.88,0.6309,24,0.0152,1679.54,0.1171,Concessionária,2022,3,39,Empresário,14347.21,,Financiada,726.0,1,0,Não,0
T000776,2025-06-01,35400.0,9352.68,26047.32,0.7358,48,0.01547,772.84,0.1387,Concessionária,2023,2,31,Servidor público,5570.17,120.0,Financiada,568.0,1,2,Sim,0
T000777,2025-03-01,38600.0,9491.74,29108.26,0.7541,36,0.01603,1070.47,0.1638,Revenda multimarca,2023,2,32,CLT,6533.35,94.0,Alugada,518.0,0,1,Não,0
T000778,2025-02-01,22400.0,9708.16,12691.84,0.5666,24,0.01665,645.84,0.4036,Correspondente bancário,2020,5,41,CLT,1600.0,26.0,Alugada,623.0,2,1,Não,0
T000779,2025-04-01,63200.0,22208.48,40991.52,0.6486,60,0.0142,1019.63,0.2219,Concessionária,2021,4,54,Autônomo,4594.63,42.0,Familiar,572.0,0,2,Não,0
T000780,2025-05-01,38300.0,10850.39,27449.61,0.7167,60,0.01674,728.59,0.4035,Concessionária,2024,1,48,CLT,1805.46,,Financiada,612.0,1,1,Não,0
T000781,2025-04-01,40900.0,15353.86,25546.14,0.6246,48,0.01449,742.27,0.2588,Digital,2024,1,30,CLT,2867.77,22.0,Familiar,682.0,0,0,Não,0
T000782,2025-06-01,42800.0,5525.48,37274.52,0.8709,48,0.01519,1099.38,0.1327,Concessionária,2013,12,47,Empresário,8282.4,71.0,Financiada,596.0,1,1,Não,0
T000783,2025-01-01,56700.0,15337.35,41362.65,0.7295,24,0.01643,2099.45,0.4409,Revenda multimarca,2020,5,39,CLT,4761.27,92.0,Familiar,514.0,1,0,Não,0
T000784,2025-01-01,24900.0,6897.3,18002.7,0.723,36,0.01519,652.9,0.1634,Concessionária,2022,3,37,Autônomo,3995.45,33.0,Familiar,492.0,0,3,Não,0
T000785,2025-01-01,33900.0,5308.74,28591.26,0.8434,36,0.01659,1061.21,0.1974,Revenda multimarca,2017,8,41,Autônomo,5377.19,86.0,Financiada,635.0,2,2,Não,0
T000786,2025-06-01,57600.0,14952.96,42647.04,0.7404,24,0.01561,2144.23,0.2863,Correspondente bancário,2024,1,32,Empresário,7489.4,28.0,Financiada,562.0,0,1,Não,0
T000787,2025-02-01,34700.0,6228.65,28471.35,0.8205,60,0.01518,726.33,0.1757,Concessionária,2020,5,28,CLT,4134.42,106.0,Própria,563.0,2,1,Não,0
T000788,2025-05-01,71500.0,15572.7,55927.3,0.7822,36,0.01556,2040.81,0.2659,Revenda multimarca,2016,9,35,CLT,7674.32,,Alugada,777.0,0,1,Não,0
T000789,2025-02-01,32800.0,8373.84,24426.16,0.7447,48,0.01571,728.44,0.0658,Concessionária,2024,1,49,Servidor público,11067.54,161.0,Alugada,597.0,0,4,Não,0
T000790,2025-02-01,39800.0,18650.28,21149.72,0.5314,48,0.01439,613.21,0.1009,Concessionária,2024,1,39,CLT,6077.31,14.0,Própria,726.0,0,1,Não,0
T000791,2025-04-01,148800.0,52258.56,96541.44,0.6488,48,0.01451,2806.33,0.2422,Concessionária,2019,6,40,CLT,11587.49,28.0,Alugada,679.0,0,1,Não,0
T000792,2025-05-01,35900.0,4340.31,31559.69,0.8791,48,0.01493,925.68,0.241,Concessionária,2021,4,35,Autônomo,3841.66,87.0,Própria,809.0,0,2,Não,0
T000793,2025-01-01,31400.0,8327.28,23072.72,0.7348,48,0.01742,713.27,0.4458,Correspondente bancário,2020,5,38,CLT,1600.0,69.0,Própria,593.0,1,5,Não,0
T000794,2025-02-01,29400.0,3378.06,26021.94,0.8851,36,0.01339,915.73,0.4363,Concessionária,2016,9,29,Autônomo,2098.87,99.0,Alugada,746.0,0,3,Não,0
T000795,2025-05-01,75500.0,27987.85,47512.15,0.6293,48,0.01404,1367.23,0.1224,Concessionária,2023,2,23,Servidor público,11169.87,46.0,Própria,,1,0,Não,0
T000796,2025-05-01,39900.0,4345.11,35554.89,0.8911,60,0.0171,952.3,0.2328,Digital,2024,1,66,Aposentado,4090.48,53.0,Familiar,645.0,1,1,Não,0
T000797,2025-04-01,38300.0,10658.89,27641.11,0.7217,60,0.01551,711.14,0.1756,Concessionária,2019,6,46,CLT,4049.91,192.0,Própria,804.0,1,0,Não,0
T000798,2025-05-01,56000.0,14968.8,41031.2,0.7327,36,0.01837,1567.93,0.2509,Revenda multimarca,2024,1,45,Autônomo,6248.68,5.0,Familiar,891.0,0,0,Não,0
T000799,2025-04-01,95700.0,20068.29,75631.71,0.7903,36,0.0149,2729.72,0.3469,Revenda multimarca,2024,1,34,CLT,7867.88,84.0,Alugada,695.0,0,1,Não,0
T000800,2025-04-01,39900.0,8542.59,31357.41,0.7859,48,0.01524,925.85,0.0863,Revenda multimarca,2024,1,27,Servidor público,10731.54,24.0,Financiada,734.0,0,2,Não,0
T000801,2025-03-01,85400.0,21845.32,63554.68,0.7442,36,0.01495,2295.74,0.1995,Correspondente bancário,2023,2,67,Aposentado,11508.98,62.0,Própria,673.0,1,4,Não,0
T000802,2025-06-01,53600.0,20828.96,32771.04,0.6114,24,0.01485,1633.22,0.3647,Correspondente bancário,2019,6,29,Autônomo,4478.55,51.0,Própria,769.0,1,0,Não,0
T000803,2025-03-01,55400.0,12271.1,43128.9,0.7785,36,0.0167,1603.7,0.2637,Correspondente bancário,2025,0,39,CLT,6082.19,39.0,Financiada,816.0,0,0,Não,0
T000804,2025-06-01,40500.0,9728.1,30771.9,0.7598,36,0.01525,1117.11,0.1207,Digital,2020,5,54,Servidor público,9257.53,45.0,Própria,516.0,0,1,Não,0
T000805,2025-01-01,22400.0,8901.76,13498.24,0.6026,24,0.01587,680.72,0.1957,Correspondente bancário,2021,4,50,Autônomo,3477.53,13.0,Própria,737.0,0,0,Não,0
T000806,2025-01-01,22000.0,3493.6,18506.4,0.8412,36,0.01469,665.6,0.1322,Concessionária,2023,2,52,Servidor público,5032.9,50.0,Financiada,565.0,2,1,Não,0
T000807,2025-06-01,33600.0,19343.52,14256.48,0.4243,48,0.01649,432.22,0.094,Concessionária,2017,8,24,CLT,4595.66,7.0,Própria,729.0,0,2,Não,0
T000808,2025-06-01,67300.0,4556.21,62743.79,0.9323,60,0.01696,1674.64,0.146,Concessionária,2021,4,49,CLT,11473.74,21.0,Familiar,844.0,0,0,Não,0
T000809,2025-02-01,60000.0,19758.0,40242.0,0.6707,24,0.01612,2035.28,0.2187,Revenda multimarca,2024,1,46,Servidor público,9307.22,126.0,Financiada,823.0,1,1,Não,0
T000810,2025-01-01,41100.0,4377.15,36722.85,0.8935,36,0.01848,1405.81,0.2422,Revenda multimarca,2020,5,33,CLT,5805.48,164.0,Própria,624.0,0,1,Não,0
T000811,2025-01-01,22000.0,1883.2,20116.8,0.9144,36,0.01564,735.04,0.4322,Revenda multimarca,2019,6,34,Autônomo,1700.67,39.0,Financiada,556.0,1,3,Não,0
T000812,2025-02-01,29100.0,2904.18,26195.82,0.9002,60,0.01859,728.09,0.2467,Correspondente bancário,2017,8,32,Servidor público,,,Alugada,,1,3,Não,0
T000813,2025-03-01,23200.0,4238.64,18961.36,0.8173,60,0.01746,512.46,0.1775,Correspondente bancário,2019,6,30,CLT,2886.38,75.0,Familiar,550.0,2,1,Não,0
T000814,2025-04-01,42900.0,13333.32,29566.68,0.6892,60,0.0146,743.1,0.1681,Concessionária,2019,6,34,Servidor público,4419.42,83.0,Financiada,674.0,0,1,Não,0
T000815,2025-03-01,47900.0,18302.59,29597.41,0.6179,36,0.01729,1111.26,0.2535,Revenda multimarca,2020,5,27,Autônomo,4383.26,37.0,Própria,800.0,0,1,Não,0
T000816,2025-05-01,24800.0,2055.92,22744.08,0.9171,36,0.01663,844.74,0.3645,Revenda multimarca,2021,4,40,CLT,2317.44,,Alugada,502.0,1,1,Não,0
T000817,2025-02-01,22100.0,5233.28,16866.72,0.7632,36,0.01485,608.25,0.1976,Digital,2015,10,33,CLT,3078.0,114.0,Própria,686.0,0,1,Não,0
T000818,2025-02-01,52300.0,34392.48,17907.52,0.3424,48,0.01435,518.76,0.1006,Concessionária,2020,5,45,CLT,5155.04,17.0,Familiar,556.0,1,0,Não,0
T000819,2025-04-01,23200.0,5375.44,17824.56,0.7683,24,0.01687,909.32,0.1286,Digital,2025,0,58,Aposentado,7069.47,21.0,Familiar,549.0,2,2,Sim,0
T000820,2025-04-01,51800.0,18394.18,33405.82,0.6449,60,0.01681,888.25,0.309,Digital,2019,6,39,Autônomo,2874.44,6.0,Própria,686.0,1,2,Não,0
T000821,2025-03-01,26000.0,1965.6,24034.4,0.9244,48,0.01776,748.28,0.2535,Revenda multimarca,2022,3,41,Autônomo,2952.24,,Alugada,486.0,1,0,Não,0
T000822,2025-06-01,43500.0,20097.0,23403.0,0.538,36,0.01627,864.07,0.1971,Digital,2022,3,53,Autônomo,,86.0,Financiada,658.0,0,3,Não,0
T000823,2025-04-01,23000.0,6920.7,16079.3,0.6991,24,0.01308,784.96,0.2282,Concessionária,2016,9,44,CLT,3440.26,3.0,Alugada,655.0,1,2,Não,0
T000824,2025-03-01,39100.0,11753.46,27346.54,0.6994,24,0.01515,1367.63,0.2757,Concessionária,2024,1,30,CLT,4961.42,19.0,Alugada,716.0,0,1,Não,0
T000825,2025-01-01,22000.0,8421.6,13578.4,0.6172,48,0.01506,399.38,0.108,Concessionária,2023,2,68,Aposentado,3699.0,117.0,Financiada,669.0,0,4,Não,0
T000826,2025-06-01,22000.0,9191.6,12808.4,0.5822,60,0.01671,339.71,0.1153,Revenda multimarca,2018,7,33,Autônomo,2947.59,11.0,Própria,580.0,1,1,Não,0
T000827,2025-05-01,47700.0,15812.55,31887.45,0.6685,48,0.01506,937.89,0.1391,Concessionária,2020,5,32,Servidor público,6742.07,168.0,Própria,658.0,0,2,Não,0
T000828,2025-06-01,26900.0,9215.94,17684.06,0.6574,60,0.01586,459.05,0.2008,Concessionária,2022,3,43,CLT,2285.91,,Familiar,580.0,0,0,Não,0
T000829,2025-05-01,29500.0,6050.45,23449.55,0.7949,48,0.01532,693.54,0.1263,Correspondente bancário,2019,6,34,Autônomo,5490.27,55.0,Alugada,599.0,1,3,Não,0
T000830,2025-02-01,59800.0,23662.86,36137.14,0.6043,60,0.01909,1016.81,0.3767,Revenda multimarca,2023,2,30,CLT,2699.26,29.0,Alugada,715.0,0,0,Sim,0
T000831,2025-06-01,30700.0,6241.31,24458.69,0.7967,36,0.01499,884.09,0.1292,Concessionária,2023,2,44,Servidor público,6842.88,43.0,Própria,551.0,1,4,Não,0
T000832,2025-03-01,55500.0,31551.75,23948.25,0.4315,36,0.01454,859.17,0.1184,Concessionária,2019,6,29,Servidor público,7254.99,17.0,Financiada,844.0,0,0,Sim,0
T000833,2025-01-01,22000.0,7407.4,14592.6,0.6633,48,0.01668,444.18,0.1443,Correspondente bancário,2021,4,46,CLT,3077.4,,Alugada,529.0,0,3,Não,0
T000834,2025-06-01,57600.0,8254.08,49345.92,0.8567,48,0.01632,1490.7,0.1636,Digital,2023,2,69,Empresário,9110.77,9.0,Financiada,617.0,0,2,Não,0
T000835,2025-06-01,66800.0,25156.88,41643.12,0.6234,60,0.01752,1127.15,0.177,Digital,2024,1,35,Servidor público,6367.84,76.0,Própria,696.0,0,3,Não,0
T000836,2025-05-01,53400.0,26844.18,26555.82,0.4973,60,0.01693,708.24,0.2051,Correspondente bancário,2024,1,47,CLT,3453.97,44.0,Financiada,639.0,1,2,Não,0
T000837,2025-02-01,73500.0,3770.55,69729.45,0.9487,60,0.01547,1792.13,0.2104,Concessionária,2015,10,35,Servidor público,8518.56,165.0,Alugada,668.0,0,1,Não,0
T000838,2025-01-01,36200.0,11927.9,24272.1,0.6705,60,0.01799,664.7,0.261,Revenda multimarca,2013,12,47,CLT,2546.81,139.0,Própria,564.0,0,2,Não,0
T000839,2025-03-01,41800.0,13137.74,28662.26,0.6857,60,0.01525,732.52,0.2809,Digital,2023,2,41,CLT,2608.11,,Própria,891.0,0,0,Não,0
T000840,2025-05-01,23100.0,4740.12,18359.88,0.7948,36,0.01621,677.2,0.1037,Revenda multimarca,2022,3,36,CLT,6527.48,47.0,Alugada,658.0,0,3,Não,0
T000841,2025-01-01,27000.0,10878.3,16121.7,0.5971,48,0.01518,475.4,0.1595,Digital,2016,9,43,CLT,2981.14,22.0,Financiada,727.0,0,3,Não,0
T000842,2025-03-01,22000.0,2439.8,19560.2,0.8891,60,0.0156,504.39,0.2711,Concessionária,2023,2,35,CLT,1860.45,28.0,Própria,510.0,1,4,Sim,0
T000843,2025-06-01,30300.0,3030.0,27270.0,0.9,48,0.01758,845.84,0.158,Revenda multimarca,2020,5,37,CLT,,57.0,Alugada,613.0,2,2,Não,0
T000844,2025-01-01,50600.0,3562.24,47037.76,0.9296,48,0.01471,1373.2,0.366,Concessionária,2019,6,25,CLT,3752.15,84.0,Alugada,594.0,1,1,Não,0
T000845,2025-06-01,45400.0,7350.26,38049.74,0.8381,60,0.01584,987.2,0.1706,Correspondente bancário,2023,2,38,CLT,5787.91,69.0,Financiada,696.0,2,2,Não,0
T000846,2025-02-01,22000.0,7680.2,14319.8,0.6509,60,0.01827,394.88,0.2468,Revenda multimarca,2016,9,31,Autônomo,1600.0,66.0,Própria,509.0,2,1,Não,0
T000847,2025-01-01,28900.0,2274.43,26625.57,0.9213,36,0.01589,976.9,0.2151,Concessionária,2019,6,31,CLT,4540.71,58.0,Própria,684.0,0,4,Não,0
T000848,2025-04-01,30800.0,13170.08,17629.92,0.5724,48,0.01638,533.26,0.1134,Concessionária,2019,6,30,Empresário,4703.5,8.0,Financiada,581.0,1,1,Não,0
T000849,2025-02-01,58000.0,6397.4,51602.6,0.8897,48,0.01901,1648.63,0.3653,Revenda multimarca,2020,5,42,Empresário,4513.18,60.0,Familiar,682.0,0,2,Não,0
T000850,2025-02-01,44000.0,7330.4,36669.6,0.8334,48,0.01555,1089.86,0.2426,Revenda multimarca,2017,8,34,Autônomo,4493.14,5.0,Própria,703.0,1,1,Não,0
T000851,2025-05-01,23200.0,4640.0,18560.0,0.8,48,0.01704,569.23,0.0849,Correspondente bancário,2021,4,31,CLT,6703.11,64.0,Familiar,885.0,0,0,Não,0
T000852,2025-03-01,28500.0,5132.85,23367.15,0.8199,36,0.01704,873.75,0.2428,Concessionária,2019,6,24,CLT,3598.75,51.0,Alugada,880.0,1,3,Não,0
T000853,2025-01-01,113900.0,25445.26,88454.74,0.7766,48,0.01611,2660.33,0.22,Digital,2024,1,32,Empresário,12093.02,23.0,Alugada,620.0,0,0,Não,0
T000854,2025-03-01,71400.0,17935.68,53464.32,0.7488,48,0.01626,1613.07,0.2216,Digital,2013,12,27,CLT,7278.22,108.0,Própria,817.0,0,4,Não,0
T000855,2025-05-01,26300.0,8694.78,17605.22,0.6694,60,0.01468,443.39,0.0523,Digital,2018,7,29,Servidor público,8475.75,62.0,Própria,495.0,0,1,Não,0
T000856,2025-02-01,49800.0,4437.18,45362.82,0.9109,60,0.01663,1200.73,0.137,Correspondente bancário,2018,7,75,Autônomo,8764.83,39.0,Financiada,698.0,0,2,Não,0
T000857,2025-01-01,35900.0,8045.19,27854.81,0.7759,24,0.01401,1374.69,0.2286,Concessionária,2021,4,28,CLT,6014.68,15.0,Financiada,783.0,1,1,Não,0
T000858,2025-06-01,32000.0,16044.8,15955.2,0.4986,60,0.01822,439.43,0.0875,Revenda multimarca,2019,6,61,Empresário,5022.61,32.0,Própria,518.0,2,1,Não,0
T000859,2025-06-01,27600.0,7184.28,20415.72,0.7397,60,0.01476,515.23,0.322,Concessionária,2015,10,27,CLT,1600.0,1.0,Alugada,514.0,2,1,Sim,0
T000860,2025-02-01,39300.0,7125.09,32174.91,0.8187,24,0.01407,1589.01,0.276,Concessionária,2013,12,27,Empresário,5756.32,,Própria,494.0,1,2,Sim,0
T000861,2025-06-01,41700.0,11959.56,29740.44,0.7132,48,0.01715,914.23,0.1411,Revenda multimarca,2021,4,31,Autônomo,6479.54,31.0,Própria,647.0,1,2,Não,0
T000862,2025-03-01,103200.0,6315.84,96884.16,0.9388,60,0.0155,2491.95,0.1956,Digital,2025,0,38,CLT,12740.42,29.0,Própria,783.0,0,1,Não,0
T000863,2025-02-01,22000.0,5779.4,16220.6,0.7373,60,0.01625,425.25,0.0641,Digital,2022,3,42,Empresário,6629.98,21.0,Financiada,506.0,1,2,Não,0
T000864,2025-04-01,37100.0,11181.94,25918.06,0.6986,60,0.0162,678.62,0.1345,Digital,2023,2,51,CLT,5047.06,7.0,Alugada,659.0,1,1,Não,0
T000865,2025-01-01,66200.0,12578.0,53622.0,0.81,48,0.01817,1683.72,0.132,Revenda multimarca,2023,2,49,CLT,12751.52,77.0,Alugada,613.0,1,2,Não,0
T000866,2025-05-01,32500.0,10809.5,21690.5,0.6674,60,0.01516,553.06,0.2178,Concessionária,2025,0,36,CLT,2539.65,54.0,Alugada,460.0,1,1,Sim,0
T000867,2025-01-01,41900.0,23727.97,18172.03,0.4337,24,0.01405,897.24,0.1017,Digital,2021,4,55,CLT,8820.94,40.0,Própria,705.0,0,2,Sim,0
T000868,2025-01-01,34900.0,13907.65,20992.35,0.6015,36,0.01629,775.32,0.0941,Revenda multimarca,2022,3,40,Empresário,8238.78,12.0,Própria,523.0,1,2,Sim,0
T000869,2025-02-01,134800.0,47867.48,86932.52,0.6449,24,0.01645,4413.47,0.3749,Correspondente bancário,2017,8,61,Autônomo,,22.0,Alugada,725.0,0,0,Não,0
T000870,2025-06-01,41200.0,3481.4,37718.6,0.9155,60,0.01504,958.79,0.274,Concessionária,2014,11,35,Servidor público,3499.12,147.0,Alugada,466.0,2,0,Sim,0
T000871,2025-06-01,41800.0,6002.48,35797.52,0.8564,48,0.01647,1084.84,0.4287,Correspondente bancário,2021,4,36,CLT,2530.49,29.0,Familiar,877.0,0,0,Não,0
T000872,2025-03-01,43700.0,4203.94,39496.06,0.9038,24,0.01513,1974.78,0.3758,Digital,2021,4,64,Aposentado,5254.44,239.0,Própria,694.0,2,0,Não,0
T000873,2025-04-01,35000.0,10353.0,24647.0,0.7042,48,0.01746,762.58,0.2204,Revenda multimarca,2023,2,36,CLT,3460.61,102.0,Alugada,830.0,0,2,Não,0
T000874,2025-03-01,50600.0,27617.48,22982.52,0.4542,60,0.01366,563.69,0.1025,Concessionária,2013,12,41,Servidor público,5497.58,18.0,Familiar,470.0,2,1,Sim,0
T000875,2025-06-01,32800.0,11824.4,20975.6,0.6395,24,0.01479,1044.64,0.2257,Concessionária,2024,1,45,CLT,4628.31,25.0,Alugada,643.0,0,1,Não,0
T000876,2025-04-01,33900.0,5583.33,28316.67,0.8353,48,0.01752,877.21,0.2021,Revenda multimarca,2019,6,27,CLT,4339.79,,Própria,763.0,0,0,Não,0
T000877,2025-02-01,43300.0,7343.68,35956.32,0.8304,36,0.01681,1339.42,0.3154,Correspondente bancário,2024,1,38,CLT,4247.1,87.0,Financiada,580.0,0,2,Sim,0
T000878,2025-02-01,22300.0,10119.74,12180.26,0.5462,24,0.01509,608.72,0.1558,Digital,2016,9,32,Autônomo,3906.93,14.0,Própria,519.0,1,4,Não,0
T000879,2025-03-01,31200.0,4520.88,26679.12,0.8551,60,0.01548,685.86,0.3057,Concessionária,2024,1,25,CLT,2243.46,38.0,Própria,603.0,1,1,Sim,0
T000880,2025-03-01,38800.0,9249.92,29550.08,0.7616,48,0.01503,868.59,0.2066,Concessionária,2022,3,39,CLT,4205.07,36.0,Financiada,782.0,0,1,Não,0
T000881,2025-06-01,45400.0,20743.26,24656.74,0.5431,36,0.01413,878.54,0.3826,Concessionária,2019,6,36,Empresário,2296.4,35.0,Alugada,642.0,2,2,Não,0
T000882,2025-04-01,38500.0,20697.6,17802.4,0.4624,24,0.01648,904.12,0.1456,Digital,2021,4,54,CLT,6209.55,101.0,Alugada,776.0,0,2,Não,0
T000883,2025-06-01,32200.0,12310.06,19889.94,0.6177,24,0.01447,986.89,0.3152,Revenda multimarca,2015,10,42,Autônomo,3131.31,3.0,Alugada,538.0,2,4,Não,0
T000884,2025-06-01,22000.0,8049.8,13950.2,0.6341,36,0.0171,522.14,0.3263,Revenda multimarca,2022,3,43,Autônomo,1600.0,21.0,Alugada,622.0,2,0,Não,0
T000885,2025-05-01,34600.0,2885.64,31714.36,0.9166,36,0.0164,1173.45,0.1855,Revenda multimarca,2024,1,48,CLT,6327.27,10.0,Familiar,497.0,0,0,Não,0
T000886,2025-05-01,51200.0,27545.6,23654.4,0.462,48,0.01453,687.9,0.143,Concessionária,2022,3,46,CLT,,133.0,Própria,900.0,0,1,Não,0
T000887,2025-02-01,62800.0,32480.16,30319.84,0.4828,24,0.01412,1498.27,0.0881,Concessionária,2020,5,40,CLT,17001.29,72.0,Própria,734.0,0,5,Não,0
T000888,2025-02-01,34300.0,14872.48,19427.52,0.5664,36,0.01444,695.82,0.3731,Concessionária,2020,5,31,CLT,,19.0,Alugada,494.0,1,3,Não,0
T000889,2025-06-01,32000.0,1843.2,30156.8,0.9424,60,0.01651,795.82,0.1891,Concessionária,2017,8,32,CLT,4209.44,15.0,Alugada,642.0,0,0,Não,0
T000890,2025-04-01,34100.0,7638.4,26461.6,0.776,24,0.01635,1341.88,0.2011,Revenda multimarca,2020,5,37,CLT,6671.08,,Própria,766.0,0,0,Não,0
T000891,2025-04-01,32900.0,2224.04,30675.96,0.9324,24,0.0166,1560.08,0.428,Correspondente bancário,2022,3,48,CLT,3645.14,44.0,Própria,530.0,2,1,Sim,0
T000892,2025-04-01,22000.0,1438.8,20561.2,0.9346,48,0.0148,601.41,0.2659,Concessionária,2023,2,45,CLT,2262.07,52.0,Própria,557.0,1,1,Não,0
T000893,2025-06-01,22000.0,2831.4,19168.6,0.8713,48,0.01646,580.78,0.11,Digital,2020,5,46,CLT,5278.57,,Própria,499.0,1,1,Não,0
T000894,2025-06-01,71200.0,52481.52,18718.48,0.2629,36,0.01511,677.96,0.1534,Correspondente bancário,2023,2,38,Autônomo,4420.68,70.0,Própria,771.0,0,2,Não,0
T000895,2025-02-01,145800.0,21330.54,124469.46,0.8537,48,0.01758,3860.71,0.1935,Revenda multimarca,2023,2,33,Empresário,19947.74,3.0,Familiar,709.0,0,0,Não,0
T000896,2025-05-01,37500.0,6431.25,31068.75,0.8285,36,0.01472,1117.98,0.2816,Concessionária,2022,3,49,Autônomo,3970.71,46.0,Alugada,671.0,0,3,Não,0
T000897,2025-01-01,51600.0,21114.72,30485.28,0.5908,60,0.01608,795.78,0.1248,Concessionária,2024,1,33,CLT,6375.21,21.0,Alugada,781.0,0,0,Não,0
T000898,2025-01-01,55400.0,7024.72,48375.28,0.8732,36,0.01508,1751.21,0.232,Concessionária,2024,1,32,CLT,7547.05,72.0,Própria,496.0,2,3,Sim,0
T000899,2025-04-01,77000.0,25525.5,51474.5,0.6685,36,0.01538,1872.72,0.3049,Correspondente bancário,2024,1,23,Servidor público,,21.0,Própria,566.0,1,0,Não,0
T000900,2025-03-01,88400.0,36951.2,51448.8,0.582,36,0.01675,1914.64,0.2045,Revenda multimarca,2023,2,44,Empresário,9360.92,,Alugada,747.0,0,3,Não,0
T000901,2025-02-01,58400.0,7241.6,51158.4,0.876,24,0.01359,2512.41,0.2647,Digital,2020,5,75,Aposentado,9492.7,246.0,Financiada,623.0,0,3,Não,0
T000902,2025-05-01,81600.0,31652.64,49947.36,0.6121,24,0.01573,2514.77,0.367,Revenda multimarca,2023,2,30,CLT,6851.37,,Própria,846.0,2,1,Não,0
T000903,2025-02-01,120500.0,40994.1,79505.9,0.6598,60,0.01741,2146.07,0.1786,Digital,2023,2,44,Autônomo,12017.66,54.0,Alugada,666.0,2,1,Não,0
