id_proposta,data_proposta,valor_bem,valor_entrada_desejada,pct_entrada_desejada,valor_financiado_desejado,ltv_desejado,prazo_desejado_meses,canal_originacao,ano_modelo,idade_veiculo_anos,idade_cliente,ocupacao,renda_mensal_declarada,tempo_emprego_meses,tipo_residencia,score_bureau,qtd_restricoes_ativas,qtd_consultas_bureau_3m,possui_avalista,qtd_parcelas_em_atraso_12m
P001366,2025-12-01,46300.0,7519.12,0.1624,38780.88,0.8376,60,Digital,2024,1,41,Autônomo,11621.89,26.0,Própria,747.0,1,2,Não,0
P001367,2025-12-01,48100.0,9908.6,0.206,38191.4,0.794,48,Concessionária,2019,6,46,CLT,7975.46,31.0,Familiar,558.0,0,4,Não,0
P001368,2025-09-01,22000.0,2180.2,0.0991,19819.8,0.9009,48,Correspondente bancário,2024,1,40,CLT,3513.4,99.0,Financiada,561.0,2,3,Não,0
P001369,2025-09-01,50500.0,7342.7,0.1454,43157.3,0.8546,60,Digital,2019,6,26,Autônomo,4622.21,32.0,Alugada,348.0,5,1,Não,0
P001370,2025-09-01,48700.0,5634.59,0.1157,43065.41,0.8843,60,Concessionária,2022,3,31,Autônomo,1768.24,28.0,Alugada,281.0,5,5,Sim,0
P001371,2025-08-01,50800.0,16804.64,0.3308,33995.36,0.6692,48,Concessionária,2015,10,75,Aposentado,7160.66,175.0,Alugada,434.0,2,1,Não,0
P001372,2025-08-01,23100.0,4689.3,0.203,18410.7,0.797,36,Revenda multimarca,2019,6,50,CLT,3794.11,34.0,Financiada,446.0,2,3,Não,0
P001373,2025-09-01,58000.0,8676.8,0.1496,49323.2,0.8504,24,Revenda multimarca,2018,7,31,Autônomo,4021.65,42.0,Financiada,522.0,4,2,Sim,0
P001374,2025-07-01,31400.0,628.0,0.02,30772.0,0.98,48,Concessionária,2020,5,39,CLT,2477.46,52.0,Financiada,410.0,3,1,Não,0
P001375,2025-07-01,52000.0,6396.0,0.123,45604.0,0.877,60,Concessionária,2018,7,41,CLT,2810.75,29.0,Alugada,733.0,1,3,Não,0
P001376,2025-07-01,42600.0,10317.72,0.2422,32282.28,0.7578,36,Concessionária,2023,2,67,Aposentado,1818.3,4.0,Financiada,542.0,2,3,Não,0
P001377,2025-08-01,31500.0,14653.8,0.4652,16846.2,0.5348,48,Concessionária,2019,6,34,CLT,,86.0,Familiar,766.0,0,1,Sim,0
P001378,2025-12-01,178300.0,9931.31,0.0557,168368.69,0.9443,36,Concessionária,2022,3,26,Empresário,17176.33,2.0,Alugada,605.0,0,0,Sim,0
P001379,2025-12-01,23200.0,2554.32,0.1101,20645.68,0.8899,24,Correspondente bancário,2017,8,41,CLT,3358.52,114.0,Alugada,484.0,1,4,Não,0
P001380,2025-11-01,40300.0,7439.38,0.1846,32860.62,0.8154,60,Digital,2022,3,41,Autônomo,3704.54,22.0,Alugada,653.0,0,2,Não,0
P001381,2025-11-01,22000.0,5233.8,0.2379,16766.2,0.7621,48,Concessionária,2021,4,46,CLT,6418.85,24.0,Própria,614.0,0,0,Sim,0
P001382,2025-08-01,48400.0,3678.4,0.076,44721.6,0.924,36,Revenda multimarca,2021,4,32,Servidor público,3969.18,168.0,Financiada,478.0,2,2,Sim,0
P001383,2025-11-01,22000.0,12144.0,0.552,9856.0,0.448,48,Revenda multimarca,2023,2,36,Servidor público,4155.07,55.0,Financiada,320.0,3,0,Não,0
P001384,2025-10-01,37900.0,3232.87,0.0853,34667.13,0.9147,60,Correspondente bancário,2013,12,68,Autônomo,3747.01,21.0,Alugada,460.0,3,1,Sim,0
P001385,2025-08-01,25800.0,2151.72,0.0834,23648.28,0.9166,60,Digital,2016,9,33,CLT,1702.74,15.0,Própria,447.0,0,0,Não,0
P001386,2025-12-01,39500.0,11462.9,0.2902,28037.1,0.7098,36,Concessionária,2022,3,35,Servidor público,3807.9,134.0,Própria,588.0,0,0,Não,0
P001387,2025-10-01,30300.0,606.0,0.02,29694.0,0.98,48,Correspondente bancário,2022,3,38,CLT,3817.11,28.0,Própria,471.0,4,6,Não,0
P001388,2025-07-01,112400.0,7407.16,0.0659,104992.84,0.9341,36,Concessionária,2021,4,67,Aposentado,17319.98,86.0,Própria,576.0,1,3,Não,0
P001389,2025-11-01,42300.0,4779.9,0.113,37520.1,0.887,24,Revenda multimarca,2020,5,28,CLT,3344.54,41.0,Própria,413.0,2,5,Não,0
P001390,2025-12-01,72300.0,30496.14,0.4218,41803.86,0.5782,48,Correspondente bancário,2023,2,25,Empresário,19935.92,,Financiada,863.0,0,1,Não,0
P001391,2025-09-01,22000.0,10474.2,0.4761,11525.8,0.5239,36,Digital,2025,0,53,Autônomo,2771.76,24.0,Familiar,487.0,3,1,Não,0
P001392,2025-10-01,22000.0,10199.2,0.4636,11800.8,0.5364,36,Revenda multimarca,2020,5,67,Aposentado,2838.6,67.0,Própria,475.0,5,0,Não,0
P001393,2025-07-01,37500.0,5392.5,0.1438,32107.5,0.8562,36,Concessionária,2024,1,23,Autônomo,3102.08,35.0,Familiar,473.0,2,1,Não,0
P001394,2025-11-01,22000.0,5460.4,0.2482,16539.6,0.7518,24,Concessionária,2018,7,27,CLT,1600.0,,Alugada,719.0,0,3,Sim,0
P001395,2025-07-01,93200.0,42471.24,0.4557,50728.76,0.5443,60,Revenda multimarca,2021,4,34,Empresário,13598.25,37.0,Financiada,928.0,0,0,Não,0
P001396,2025-09-01,51200.0,17372.16,0.3393,33827.84,0.6607,24,Revenda multimarca,2022,3,30,Servidor público,2581.1,129.0,Financiada,528.0,5,2,Não,0
P001397,2025-07-01,91300.0,19264.3,0.211,72035.7,0.789,24,Concessionária,2023,2,47,Servidor público,10905.02,4.0,Familiar,691.0,0,0,Não,0
P001398,2025-08-01,29400.0,7876.26,0.2679,21523.74,0.7321,60,Concessionária,2024,1,33,Servidor público,4339.54,,Familiar,401.0,3,3,Sim,0
P001399,2025-11-01,59200.0,24218.72,0.4091,34981.28,0.5909,48,Revenda multimarca,2016,9,39,CLT,10118.5,49.0,Alugada,388.0,3,3,Não,0
P001400,2025-11-01,33000.0,5969.7,0.1809,27030.3,0.8191,60,Concessionária,2024,1,46,Empresário,4190.37,51.0,Financiada,470.0,1,4,Não,0
P001401,2025-07-01,52700.0,6418.86,0.1218,46281.14,0.8782,48,Concessionária,2017,8,31,Autônomo,6801.27,116.0,Familiar,727.0,0,3,Não,0
P001402,2025-11-01,51900.0,20957.22,0.4038,30942.78,0.5962,36,Concessionária,2023,2,43,Autônomo,2809.27,80.0,Familiar,,0,0,Não,0
P001403,2025-12-01,57100.0,8456.51,0.1481,48643.49,0.8519,24,Revenda multimarca,2022,3,49,CLT,4496.71,123.0,Familiar,614.0,3,2,Não,0
P001404,2025-07-01,33400.0,6142.26,0.1839,27257.74,0.8161,60,Digital,2020,5,34,CLT,6441.36,54.0,Própria,561.0,0,2,Sim,0
P001405,2025-07-01,28100.0,5212.55,0.1855,22887.45,0.8145,60,Concessionária,2019,6,34,CLT,1600.0,45.0,Familiar,245.0,5,2,Não,0
P001406,2025-12-01,52600.0,25505.74,0.4849,27094.26,0.5151,36,Revenda multimarca,2021,4,25,CLT,6551.71,70.0,Própria,692.0,0,0,Não,0
P001407,2025-11-01,38500.0,5497.8,0.1428,33002.2,0.8572,48,Digital,2018,7,31,Autônomo,1754.66,23.0,Financiada,293.0,5,1,Não,0
P001408,2025-11-01,24900.0,5318.64,0.2136,19581.36,0.7864,60,Concessionária,2020,5,44,CLT,1802.14,,Alugada,580.0,0,0,Não,0
P001409,2025-07-01,22000.0,4191.0,0.1905,17809.0,0.8095,60,Concessionária,2021,4,41,Autônomo,3053.39,44.0,Própria,328.0,5,2,Não,0
P001410,2025-08-01,55500.0,4273.5,0.077,51226.5,0.923,60,Revenda multimarca,2024,1,39,CLT,4014.25,10.0,Familiar,587.0,1,0,Não,0
P001411,2025-11-01,35500.0,19798.35,0.5577,15701.65,0.4423,24,Concessionária,2014,11,33,CLT,2525.9,59.0,Própria,854.0,1,3,Não,0
P001412,2025-12-01,44900.0,8719.58,0.1942,36180.42,0.8058,36,Revenda multimarca,2021,4,31,Servidor público,8127.44,,Própria,651.0,1,2,Não,0
P001413,2025-09-01,54900.0,12028.59,0.2191,42871.41,0.7809,60,Concessionária,2020,5,57,Autônomo,1918.8,12.0,Alugada,503.0,1,4,Sim,0
P001414,2025-07-01,35600.0,10961.24,0.3079,24638.76,0.6921,24,Concessionária,2024,1,71,Autônomo,8477.98,4.0,Familiar,758.0,0,2,Não,0
P001415,2025-09-01,22200.0,8187.36,0.3688,14012.64,0.6312,36,Concessionária,2018,7,42,CLT,4305.61,103.0,Alugada,710.0,0,0,Não,0
P001416,2025-09-01,50300.0,1006.0,0.02,49294.0,0.98,24,Digital,2024,1,45,Autônomo,11619.72,54.0,Própria,638.0,1,3,Sim,0
P001417,2025-07-01,22000.0,5500.0,0.25,16500.0,0.75,36,Concessionária,2023,2,26,Autônomo,2108.64,65.0,Financiada,366.0,5,6,Não,0
P001418,2025-09-01,39200.0,5099.92,0.1301,34100.08,0.8699,36,Revenda multimarca,2020,5,29,CLT,4225.79,75.0,Financiada,545.0,3,2,Não,0
P001419,2025-07-01,64600.0,10613.78,0.1643,53986.22,0.8357,24,Revenda multimarca,2024,1,28,Empresário,8575.29,87.0,Financiada,575.0,0,0,Não,0
P001420,2025-07-01,41100.0,2059.11,0.0501,39040.89,0.9499,48,Concessionária,2017,8,64,Aposentado,8819.64,54.0,Alugada,567.0,1,1,Não,0
P001421,2025-10-01,35600.0,712.0,0.02,34888.0,0.98,36,Correspondente bancário,2018,7,24,CLT,2330.99,72.0,Própria,635.0,1,1,Não,0
P001422,2025-08-01,31300.0,8923.63,0.2851,22376.37,0.7149,24,Concessionária,2022,3,51,Autônomo,7031.28,67.0,Própria,496.0,3,2,Não,0
P001423,2025-07-01,37500.0,2512.5,0.067,34987.5,0.933,48,Concessionária,2020,5,41,Autônomo,2432.48,21.0,Alugada,659.0,2,1,Não,0
P001424,2025-07-01,97400.0,5357.0,0.055,92043.0,0.945,60,Correspondente bancário,2023,2,31,Empresário,7158.05,37.0,Própria,611.0,0,2,Não,0
P001425,2025-08-01,97700.0,20790.56,0.2128,76909.44,0.7872,48,Revenda multimarca,2024,1,53,Servidor público,38621.68,62.0,Financiada,777.0,0,0,Não,0
P001426,2025-07-01,42700.0,7873.88,0.1844,34826.12,0.8156,24,Revenda multimarca,2022,3,29,CLT,4965.67,,Familiar,592.0,2,2,Não,0
P001427,2025-12-01,49500.0,1980.0,0.04,47520.0,0.96,60,Concessionária,2021,4,28,Empresário,4597.28,88.0,Familiar,,1,2,Não,0
P001428,2025-11-01,43600.0,7573.32,0.1737,36026.68,0.8263,48,Correspondente bancário,2017,8,37,Servidor público,,66.0,Alugada,446.0,5,1,Sim,0
P001429,2025-07-01,42500.0,2184.5,0.0514,40315.5,0.9486,60,Digital,2022,3,50,CLT,6444.33,,Alugada,741.0,0,0,Não,0
P001430,2025-10-01,48300.0,7892.22,0.1634,40407.78,0.8366,36,Revenda multimarca,2023,2,31,CLT,5352.33,14.0,Alugada,548.0,2,2,Não,0
P001431,2025-11-01,38100.0,20417.79,0.5359,17682.21,0.4641,36,Revenda multimarca,2021,4,46,Autônomo,3483.66,134.0,Financiada,449.0,0,2,Sim,0
P001432,2025-10-01,22000.0,1788.6,0.0813,20211.4,0.9187,48,Revenda multimarca,2021,4,35,CLT,2112.1,8.0,Própria,457.0,4,1,Sim,0
P001433,2025-07-01,99800.0,35608.64,0.3568,64191.36,0.6432,60,Digital,2024,1,51,CLT,8777.04,38.0,Própria,876.0,0,2,Não,0
P001434,2025-10-01,24300.0,3336.39,0.1373,20963.61,0.8627,60,Revenda multimarca,2020,5,35,CLT,3663.16,,Familiar,360.0,3,2,Sim,0
P001435,2025-10-01,31900.0,7732.56,0.2424,24167.44,0.7576,48,Digital,2021,4,30,CLT,,25.0,Financiada,732.0,1,2,Não,0
P001436,2025-11-01,89000.0,41491.8,0.4662,47508.2,0.5338,48,Concessionária,2019,6,54,CLT,6427.74,118.0,Própria,735.0,0,1,Não,0
P001437,2025-12-01,29000.0,7415.3,0.2557,21584.7,0.7443,48,Revenda multimarca,2022,3,45,CLT,5633.71,48.0,Própria,471.0,5,3,Não,0
P001438,2025-12-01,49200.0,15547.2,0.316,33652.8,0.684,48,Concessionária,2020,5,30,Servidor público,7482.51,62.0,Familiar,734.0,3,0,Não,0
P001439,2025-09-01,44000.0,10511.6,0.2389,33488.4,0.7611,60,Concessionária,2022,3,75,Aposentado,7994.85,30.0,Própria,699.0,1,2,Não,0
P001440,2025-11-01,59500.0,27649.65,0.4647,31850.35,0.5353,48,Concessionária,2022,3,30,CLT,5580.45,12.0,Alugada,690.0,0,2,Não,0
P001441,2025-07-01,32100.0,12098.49,0.3769,20001.51,0.6231,24,Concessionária,2013,12,32,Autônomo,3787.64,,Familiar,474.0,3,1,Não,0
P001442,2025-11-01,22000.0,2138.4,0.0972,19861.6,0.9028,48,Correspondente bancário,2022,3,32,Autônomo,2213.38,18.0,Própria,540.0,2,0,Não,0
P001443,2025-08-01,32500.0,3354.0,0.1032,29146.0,0.8968,24,Concessionária,2022,3,33,CLT,4443.16,37.0,Financiada,523.0,1,0,Sim,0
P001444,2025-11-01,33000.0,14381.4,0.4358,18618.6,0.5642,24,Revenda multimarca,2016,9,68,Aposentado,7102.18,416.0,Familiar,532.0,1,3,Não,0
P001445,2025-12-01,31500.0,2809.8,0.0892,28690.2,0.9108,60,Concessionária,2020,5,45,CLT,3876.49,22.0,Alugada,584.0,3,3,Sim,0
P001446,2025-12-01,53900.0,19598.04,0.3636,34301.96,0.6364,60,Revenda multimarca,2013,12,26,Servidor público,5551.21,96.0,Alugada,497.0,0,1,Sim,0
P001447,2025-10-01,22000.0,2138.4,0.0972,19861.6,0.9028,60,Revenda multimarca,2019,6,59,Aposentado,1600.0,492.0,Própria,175.0,5,6,Sim,0
P001448,2025-09-01,25800.0,6042.36,0.2342,19757.64,0.7658,24,Concessionária,2020,5,28,CLT,3313.49,0.0,Própria,561.0,2,1,Não,0
P001449,2025-09-01,26100.0,3142.44,0.1204,22957.56,0.8796,36,Revenda multimarca,2016,9,43,CLT,2172.24,,Alugada,211.0,5,7,Sim,0
P001450,2025-08-01,69400.0,8529.26,0.1229,60870.74,0.8771,36,Digital,2019,6,44,CLT,6084.53,39.0,Alugada,773.0,0,0,Não,0
P001451,2025-08-01,33000.0,10527.0,0.319,22473.0,0.681,60,Concessionária,2017,8,52,CLT,2412.88,39.0,Própria,342.0,5,4,Sim,0
P001452,2025-11-01,22000.0,5363.6,0.2438,16636.4,0.7562,48,Concessionária,2023,2,47,Autônomo,1600.0,37.0,Própria,173.0,5,5,Não,0
P001453,2025-08-01,25200.0,8696.52,0.3451,16503.48,0.6549,36,Concessionária,2024,1,46,Servidor público,6139.11,21.0,Própria,573.0,0,3,Não,0
P001454,2025-12-01,70500.0,39430.65,0.5593,31069.35,0.4407,24,Revenda multimarca,2023,2,38,Servidor público,13370.95,,Alugada,733.0,0,1,Não,0
P001455,2025-08-01,45400.0,13424.78,0.2957,31975.22,0.7043,48,Concessionária,2023,2,34,CLT,5737.21,32.0,Financiada,839.0,0,0,Não,0
P001456,2025-08-01,115200.0,48222.72,0.4186,66977.28,0.5814,48,Digital,2025,0,24,Servidor público,19152.54,72.0,Financiada,,0,2,Não,0
P001457,2025-10-01,34400.0,8455.52,0.2458,25944.48,0.7542,48,Concessionária,2022,3,37,CLT,2778.51,18.0,Financiada,633.0,1,0,Sim,0
P001458,2025-08-01,45000.0,900.0,0.02,44100.0,0.98,48,Revenda multimarca,2021,4,40,CLT,6897.39,104.0,Financiada,230.0,5,3,Não,0
P001459,2025-07-01,32600.0,6669.96,0.2046,25930.04,0.7954,36,Digital,2019,6,22,CLT,1892.53,4.0,Alugada,496.0,3,3,Não,0
P001460,2025-09-01,32100.0,6795.57,0.2117,25304.43,0.7883,48,Digital,2023,2,27,CLT,3069.26,7.0,Própria,391.0,3,3,Não,0
P001461,2025-09-01,59900.0,9494.15,0.1585,50405.85,0.8415,36,Concessionária,2014,11,35,CLT,2714.88,33.0,Alugada,771.0,0,1,Sim,0
P001462,2025-09-01,22000.0,7882.6,0.3583,14117.4,0.6417,60,Concessionária,2016,9,48,CLT,1600.0,184.0,Familiar,264.0,5,7,Não,0
P001463,2025-08-01,77800.0,15093.2,0.194,62706.8,0.806,60,Concessionária,2021,4,42,CLT,7226.45,15.0,Alugada,893.0,0,0,Não,0
P001464,2025-10-01,29400.0,12721.38,0.4327,16678.62,0.5673,60,Concessionária,2022,3,28,CLT,3666.46,33.0,Alugada,536.0,3,1,Não,0
P001465,2025-07-01,40000.0,15980.0,0.3995,24020.0,0.6005,24,Concessionária,2022,3,36,Autônomo,1837.28,1.0,Financiada,809.0,0,1,Não,0
P001466,2025-07-01,47900.0,10461.36,0.2184,37438.64,0.7816,24,Concessionária,2024,1,47,CLT,9157.49,144.0,Alugada,869.0,0,0,Não,0
P001467,2025-07-01,47500.0,18487.0,0.3892,29013.0,0.6108,60,Digital,2019,6,40,CLT,3519.83,,Financiada,573.0,0,1,Não,0
P001468,2025-10-01,80300.0,30578.24,0.3808,49721.76,0.6192,48,Correspondente bancário,2013,12,38,CLT,4121.74,40.0,Alugada,589.0,0,0,Não,0
P001469,2025-11-01,43300.0,4853.93,0.1121,38446.07,0.8879,48,Concessionária,2022,3,25,CLT,4733.93,84.0,Familiar,671.0,1,2,Sim,0
P001470,2025-07-01,35000.0,12572.0,0.3592,22428.0,0.6408,48,Revenda multimarca,2021,4,35,Empresário,5784.18,19.0,Alugada,500.0,3,3,Não,0
P001471,2025-08-01,50600.0,1012.0,0.02,49588.0,0.98,48,Concessionária,2022,3,40,CLT,2007.79,,Familiar,462.0,2,2,Sim,0
P001472,2025-12-01,28500.0,6315.6,0.2216,22184.4,0.7784,60,Revenda multimarca,2020,5,41,CLT,3150.08,,Alugada,582.0,1,8,Não,0
P001473,2025-09-01,27500.0,3429.25,0.1247,24070.75,0.8753,36,Concessionária,2023,2,35,Servidor público,4547.99,204.0,Própria,616.0,1,3,Não,0
P001474,2025-08-01,95600.0,11529.36,0.1206,84070.64,0.8794,60,Concessionária,2024,1,37,Empresário,21083.19,103.0,Alugada,894.0,0,2,Não,0
P001475,2025-12-01,30200.0,5704.78,0.1889,24495.22,0.8111,60,Concessionária,2022,3,41,Servidor público,2720.68,39.0,Alugada,368.0,1,6,Sim,0
P001476,2025-08-01,50700.0,7589.79,0.1497,43110.21,0.8503,36,Concessionária,2018,7,41,CLT,6848.34,78.0,Alugada,707.0,1,2,Não,0
P001477,2025-11-01,54600.0,30106.44,0.5514,24493.56,0.4486,48,Correspondente bancário,2023,2,72,Empresário,7592.96,28.0,Financiada,532.0,1,2,Não,0
P001478,2025-10-01,33800.0,9031.36,0.2672,24768.64,0.7328,48,Revenda multimarca,2021,4,44,Autônomo,2380.34,38.0,Própria,255.0,3,8,Não,0
P001479,2025-07-01,40600.0,4904.48,0.1208,35695.52,0.8792,60,Concessionária,2023,2,32,Autônomo,4183.9,52.0,Financiada,570.0,1,0,Não,0
P001480,2025-09-01,46100.0,2941.18,0.0638,43158.82,0.9362,48,Correspondente bancário,2021,4,47,CLT,5945.68,15.0,Financiada,461.0,3,3,Não,0
P001481,2025-12-01,22000.0,5878.4,0.2672,16121.6,0.7328,60,Revenda multimarca,2018,7,63,Aposentado,6564.43,273.0,Própria,293.0,5,3,Sim,0
P001482,2025-09-01,55100.0,4479.63,0.0813,50620.37,0.9187,36,Concessionária,2021,4,35,CLT,5170.38,65.0,Alugada,619.0,2,4,Não,0
P001483,2025-10-01,53300.0,7925.71,0.1487,45374.29,0.8513,60,Digital,2022,3,34,CLT,9533.36,,Alugada,758.0,1,1,Não,0
P001484,2025-07-01,22800.0,6794.4,0.298,16005.6,0.702,36,Revenda multimarca,2021,4,25,CLT,2573.0,,Financiada,446.0,3,3,Não,0
P001485,2025-09-01,36300.0,19707.27,0.5429,16592.73,0.4571,60,Revenda multimarca,2020,5,58,CLT,5132.07,36.0,Alugada,529.0,2,1,Sim,0
P001486,2025-11-01,22000.0,5046.8,0.2294,16953.2,0.7706,36,Digital,2021,4,45,Autônomo,4014.52,,Própria,550.0,0,1,Não,0
P001487,2025-09-01,30200.0,7392.96,0.2448,22807.04,0.7552,36,Revenda multimarca,2023,2,26,CLT,4362.54,96.0,Alugada,,0,3,Não,0
P001488,2025-10-01,35500.0,10238.2,0.2884,25261.8,0.7116,36,Revenda multimarca,2024,1,33,Empresário,10630.71,34.0,Própria,478.0,1,0,Não,0
P001489,2025-12-01,22100.0,7905.17,0.3577,14194.83,0.6423,36,Revenda multimarca,2025,0,28,CLT,6887.36,57.0,Própria,340.0,1,2,Sim,0
P001490,2025-10-01,39300.0,12367.71,0.3147,26932.29,0.6853,36,Revenda multimarca,2024,1,33,Servidor público,6272.99,163.0,Familiar,504.0,0,3,Sim,0
P001491,2025-10-01,88600.0,40782.58,0.4603,47817.42,0.5397,24,Concessionária,2022,3,53,Empresário,9891.05,68.0,Própria,683.0,0,0,Não,0
P001492,2025-10-01,88100.0,21152.81,0.2401,66947.19,0.7599,48,Concessionária,2018,7,60,CLT,14503.58,18.0,Própria,747.0,0,1,Sim,0
P001493,2025-07-01,36200.0,5636.34,0.1557,30563.66,0.8443,36,Digital,2022,3,52,CLT,1600.0,59.0,Familiar,315.0,5,4,Sim,0
P001494,2025-11-01,38100.0,6412.23,0.1683,31687.77,0.8317,60,Digital,2020,5,56,CLT,9335.85,,Familiar,558.0,1,6,Não,0
P001495,2025-11-01,71300.0,30580.57,0.4289,40719.43,0.5711,48,Concessionária,2021,4,33,Autônomo,8929.64,8.0,Familiar,877.0,0,1,Não,0
P001496,2025-12-01,99100.0,37598.54,0.3794,61501.46,0.6206,48,Concessionária,2024,1,43,Empresário,6452.07,6.0,Financiada,710.0,0,1,Não,0
P001497,2025-09-01,35800.0,16435.78,0.4591,19364.22,0.5409,36,Concessionária,2023,2,30,CLT,1997.37,91.0,Alugada,574.0,1,0,Não,0
P001498,2025-08-01,33100.0,8179.01,0.2471,24920.99,0.7529,24,Concessionária,2022,3,43,CLT,2888.64,40.0,Alugada,503.0,0,1,Não,0
P001499,2025-11-01,31900.0,8035.61,0.2519,23864.39,0.7481,24,Revenda multimarca,2021,4,52,Servidor público,4308.28,147.0,Familiar,489.0,0,1,Não,0
P001500,2025-10-01,23700.0,6818.49,0.2877,16881.51,0.7123,36,Concessionária,2020,5,27,Autônomo,2387.65,46.0,Alugada,608.0,3,0,Sim,0
P001501,2025-08-01,52500.0,24449.25,0.4657,28050.75,0.5343,36,Digital,2024,1,28,Empresário,21415.84,77.0,Alugada,648.0,0,3,Não,0
P001502,2025-09-01,50000.0,5135.0,0.1027,44865.0,0.8973,24,Revenda multimarca,2014,11,57,Aposentado,4982.83,181.0,Alugada,664.0,0,1,Não,0
P001503,2025-08-01,61200.0,13433.4,0.2195,47766.6,0.7805,24,Revenda multimarca,2024,1,54,CLT,11680.94,17.0,Própria,784.0,0,3,Não,0
P001504,2025-09-01,33300.0,1548.45,0.0465,31751.55,0.9535,36,Revenda multimarca,2020,5,33,CLT,4498.46,14.0,Financiada,399.0,3,2,Não,0
P001505,2025-12-01,43900.0,2563.76,0.0584,41336.24,0.9416,48,Digital,2024,1,27,CLT,,15.0,Própria,521.0,1,0,Não,0
P001506,2025-08-01,51200.0,11683.84,0.2282,39516.16,0.7718,36,Revenda multimarca,2022,3,41,Autônomo,,34.0,Alugada,736.0,0,4,Não,0
P001507,2025-11-01,41700.0,5967.27,0.1431,35732.73,0.8569,36,Revenda multimarca,2022,3,75,Aposentado,3689.01,244.0,Própria,644.0,1,1,Não,0
P001508,2025-07-01,82700.0,10585.6,0.128,72114.4,0.872,60,Revenda multimarca,2023,2,55,Empresário,17160.28,65.0,Financiada,735.0,2,0,Não,0
P001509,2025-09-01,30200.0,1938.84,0.0642,28261.16,0.9358,60,Correspondente bancário,2022,3,38,CLT,2295.79,104.0,Alugada,475.0,1,2,Não,0
P001510,2025-12-01,49100.0,14351.93,0.2923,34748.07,0.7077,60,Concessionária,2022,3,29,Empresário,4852.56,17.0,Alugada,365.0,3,9,Não,0
P001511,2025-10-01,30000.0,2991.0,0.0997,27009.0,0.9003,48,Concessionária,2022,3,33,CLT,,32.0,Familiar,546.0,2,4,Não,0
P001512,2025-09-01,44600.0,4103.2,0.092,40496.8,0.908,48,Digital,2024,1,41,CLT,10197.81,11.0,Financiada,727.0,1,0,Não,0
P001513,2025-07-01,22000.0,11314.6,0.5143,10685.4,0.4857,36,Correspondente bancário,2020,5,46,Autônomo,,6.0,Própria,414.0,4,2,Sim,0
P001514,2025-07-01,49100.0,20563.08,0.4188,28536.92,0.5812,36,Correspondente bancário,2021,4,29,CLT,2086.01,3.0,Alugada,520.0,2,5,Não,0
P001515,2025-07-01,22000.0,1933.8,0.0879,20066.2,0.9121,48,Revenda multimarca,2013,12,46,CLT,1723.7,79.0,Própria,405.0,5,3,Sim,0
P001516,2025-12-01,22000.0,745.8,0.0339,21254.2,0.9661,60,Digital,2024,1,35,CLT,2437.48,105.0,Financiada,492.0,3,1,Sim,0
P001517,2025-09-01,24600.0,3175.86,0.1291,21424.14,0.8709,60,Concessionária,2014,11,63,Autônomo,5164.51,22.0,Alugada,598.0,3,1,Não,0
P001518,2025-12-01,43600.0,5157.88,0.1183,38442.12,0.8817,48,Concessionária,2020,5,29,Autônomo,1600.0,51.0,Alugada,396.0,4,0,Não,0
P001519,2025-08-01,22400.0,8299.2,0.3705,14100.8,0.6295,36,Digital,2021,4,36,Autônomo,2838.68,34.0,Financiada,386.0,1,4,Não,0
P001520,2025-09-01,22000.0,7084.0,0.322,14916.0,0.678,24,Concessionária,2024,1,26,CLT,3658.23,39.0,Familiar,456.0,2,2,Não,0
P001521,2025-12-01,34300.0,2960.09,0.0863,31339.91,0.9137,60,Concessionária,2024,1,38,CLT,3308.44,102.0,Familiar,648.0,1,0,Não,0
P001522,2025-10-01,22000.0,13765.4,0.6257,8234.6,0.3743,36,Revenda multimarca,2022,3,48,Autônomo,2353.24,28.0,Própria,495.0,2,2,Não,0
P001523,2025-07-01,35800.0,22733.0,0.635,13067.0,0.365,36,Digital,2020,5,43,CLT,,63.0,Financiada,636.0,3,6,Não,0
P001524,2025-11-01,38300.0,17778.86,0.4642,20521.14,0.5358,48,Digital,2020,5,39,CLT,5654.62,77.0,Alugada,675.0,1,1,Não,0
P001525,2025-08-01,58800.0,21032.76,0.3577,37767.24,0.6423,48,Revenda multimarca,2023,2,35,Autônomo,,,Familiar,556.0,3,2,Não,0
P001526,2025-11-01,60400.0,22879.52,0.3788,37520.48,0.6212,48,Correspondente bancário,2016,9,53,Empresário,11186.97,7.0,Alugada,394.0,5,3,Não,0
P001527,2025-07-01,22000.0,5167.8,0.2349,16832.2,0.7651,60,Revenda multimarca,2017,8,24,Servidor público,1600.0,72.0,Alugada,517.0,3,3,Não,0
P001528,2025-12-01,45300.0,4194.78,0.0926,41105.22,0.9074,36,Digital,2020,5,30,Autônomo,6159.27,93.0,Alugada,462.0,5,5,Não,0
P001529,2025-11-01,42200.0,15419.88,0.3654,26780.12,0.6346,36,Concessionária,2021,4,35,CLT,7736.05,123.0,Própria,725.0,1,1,Não,0
P001530,2025-12-01,28300.0,4106.33,0.1451,24193.67,0.8549,60,Digital,2017,8,42,CLT,3365.14,43.0,Familiar,516.0,3,3,Não,0
P001531,2025-09-01,31600.0,7116.32,0.2252,24483.68,0.7748,48,Digital,2024,1,34,CLT,2708.11,,Financiada,357.0,3,0,Não,0
