id_proposta,pd,score_1a10,decisao,taxa_am,prazo_meses,pct_entrada_minima
P000580,0.032629,10,APROVAR,0.0227,48,0.0
P000581,0.09979,5,APROVAR,0.0282,60,0.21
P000582,0.030088,10,APROVAR,0.0227,36,0.0
P000583,0.354605,1,NEGAR,,,
P000584,0.318763,1,NEGAR,,,
P000585,0.325144,1,NEGAR,,,
P000586,0.100004,5,APROVAR,0.0282,48,0.21
P000587,0.025458,10,APROVAR,0.0227,60,0.0
P000588,0.047028,8,APROVAR,0.0247,36,0.0
P000589,0.041236,9,APROVAR,0.0236,48,0.0
P000590,0.222391,2,NEGAR,,,
P000591,0.100114,5,APROVAR,0.0282,36,0.21
P000592,0.208772,3,NEGAR,,,
P000593,0.101981,5,APROVAR,0.0282,60,0.21
P000594,0.302787,1,NEGAR,,,
P000595,0.057559,7,APROVAR,0.0256,60,0.0
P000596,0.020717,10,APROVAR,0.0227,36,0.0
P000597,0.588452,1,NEGAR,,,
P000598,0.261022,2,NEGAR,,,
P000599,0.066295,7,APROVAR,0.0256,48,0.0
P000600,0.042195,9,APROVAR,0.0236,36,0.0
P000601,0.053219,8,APROVAR,0.0247,36,0.0
P000602,0.179006,3,NEGAR,,,
P000603,0.128013,4,NEGAR,,,
P000604,0.035519,10,APROVAR,0.0227,48,0.0
P000605,0.49476,1,NEGAR,,,
P000606,0.362206,1,NEGAR,,,
P000607,0.087032,5,APROVAR,0.0282,24,0.21
P000608,0.211349,2,NEGAR,,,
P000609,0.574612,1,NEGAR,,,
P000610,0.044291,9,APROVAR,0.0236,48,0.0
P000611,0.227317,2,NEGAR,,,
P000612,0.03612,10,APROVAR,0.0227,60,0.0
P000613,0.056362,7,APROVAR,0.0256,36,0.0
P000614,0.479767,1,NEGAR,,,
P000615,0.033413,10,APROVAR,0.0227,24,0.0
P000616,0.066539,6,APROVAR,0.0265,36,0.21
P000617,0.078444,6,APROVAR,0.0265,24,0.21
P000618,0.073831,6,APROVAR,0.0265,24,0.21
P000619,0.194859,3,NEGAR,,,
P000620,0.104893,5,APROVAR,0.0282,36,0.21
P000621,0.087541,5,APROVAR,0.0282,60,0.21
P000622,0.258203,2,NEGAR,,,
P000623,0.067978,6,APROVAR,0.0265,48,0.21
P000624,0.054804,7,APROVAR,0.0256,48,0.0
P000625,0.231158,2,NEGAR,,,
P000626,0.077209,6,APROVAR,0.0265,48,0.21
P000627,0.41516,1,NEGAR,,,
P000628,0.044911,8,APROVAR,0.0247,48,0.0
P000629,0.044087,9,APROVAR,0.0236,36,0.0
P000630,0.056951,7,APROVAR,0.0256,48,0.0
P000631,0.033173,10,APROVAR,0.0227,36,0.0
P000632,0.035218,10,APROVAR,0.0227,48,0.0
P000633,0.055978,7,APROVAR,0.0256,36,0.0
P000634,0.272256,2,NEGAR,,,
P000635,0.114941,4,NEGAR,,,
P000636,0.086265,5,APROVAR,0.0282,60,0.21
P000637,0.190865,3,NEGAR,,,
P000638,0.055203,7,APROVAR,0.0256,48,0.0
P000639,0.303223,1,NEGAR,,,
P000640,0.062812,7,APROVAR,0.0256,60,0.0
P000641,0.406863,1,NEGAR,,,
P000642,0.45681,1,NEGAR,,,
P000643,0.08306,6,APROVAR,0.0265,60,0.21
P000644,0.043917,9,APROVAR,0.0236,48,0.0
P000645,0.060056,7,APROVAR,0.0256,36,0.0
P000646,0.042559,9,APROVAR,0.0236,60,0.0
P000647,0.136539,4,NEGAR,,,
P000648,0.033739,10,APROVAR,0.0227,48,0.0
P000649,0.327134,1,NEGAR,,,
P000650,0.028136,10,APROVAR,0.0227,60,0.0
P000651,0.053412,8,APROVAR,0.0247,24,0.0
P000652,0.117746,4,NEGAR,,,
P000653,0.156991,3,NEGAR,,,
P000654,0.158939,3,NEGAR,,,
P000655,0.115591,4,NEGAR,,,
P000656,0.118835,4,NEGAR,,,
P000657,0.048677,8,APROVAR,0.0247,60,0.0
P000658,0.271471,2,NEGAR,,,
P000659,0.263149,2,NEGAR,,,
P000660,0.140109,4,NEGAR,,,
P000661,0.45157,1,NEGAR,,,
P000662,0.29857,2,NEGAR,,,
P000663,0.192551,3,NEGAR,,,
P000664,0.071861,6,APROVAR,0.0265,60,0.21
P000665,0.065765,7,APROVAR,0.0256,60,0.0
P000666,0.460054,1,NEGAR,,,
P000667,0.049633,8,APROVAR,0.0247,48,0.0
P000668,0.527538,1,NEGAR,,,
P000669,0.262326,2,NEGAR,,,
P000670,0.038212,9,APROVAR,0.0236,48,0.0
P000671,0.170089,3,NEGAR,,,
P000672,0.066776,6,APROVAR,0.0265,60,0.21
P000673,0.036982,9,APROVAR,0.0236,36,0.0
P000674,0.054974,7,APROVAR,0.0256,60,0.0
P000675,0.207481,3,NEGAR,,,
P000676,0.456534,1,NEGAR,,,
P000677,0.032207,10,APROVAR,0.0227,48,0.0
P000678,0.1981,3,NEGAR,,,
P000679,0.026173,10,APROVAR,0.0227,60,0.0
P000680,0.029263,10,APROVAR,0.0227,48,0.0
P000681,0.040599,9,APROVAR,0.0236,48,0.0
P000682,0.312391,1,NEGAR,,,
P000683,0.037586,9,APROVAR,0.0236,36,0.0
P000684,0.304364,1,NEGAR,,,
P000685,0.08347,6,APROVAR,0.0265,48,0.21
P000686,0.058854,7,APROVAR,0.0256,60,0.0
P000687,0.040662,9,APROVAR,0.0236,24,0.0
P000688,0.041355,9,APROVAR,0.0236,36,0.0
P000689,0.042002,9,APROVAR,0.0236,60,0.0
P000690,0.066063,7,APROVAR,0.0256,48,0.0
P000691,0.081065,6,APROVAR,0.0265,48,0.21
P000692,0.021843,10,APROVAR,0.0227,48,0.0
P000693,0.046851,8,APROVAR,0.0247,36,0.0
P000694,0.265665,2,NEGAR,,,
P000695,0.033411,10,APROVAR,0.0227,48,0.0
P000696,0.127657,4,NEGAR,,,
P000697,0.030116,10,APROVAR,0.0227,48,0.0
P000698,0.186789,3,NEGAR,,,
P000699,0.164515,3,NEGAR,,,
P000700,0.307229,1,NEGAR,,,
P000701,0.047984,8,APROVAR,0.0247,48,0.0
P000702,0.046877,8,APROVAR,0.0247,36,0.0
P000703,0.210757,2,NEGAR,,,
P000704,0.268604,2,NEGAR,,,
P000705,0.033129,10,APROVAR,0.0227,48,0.0
P000706,0.063474,7,APROVAR,0.0256,24,0.0
P000707,0.332889,1,NEGAR,,,
P000708,0.83218,1,NEGAR,,,
P000709,0.287246,2,NEGAR,,,
P000710,0.132591,4,NEGAR,,,
P000711,0.41771,1,NEGAR,,,
P000712,0.132573,4,NEGAR,,,
P000713,0.173821,3,NEGAR,,,
P000714,0.290541,2,NEGAR,,,
P000715,0.029085,10,APROVAR,0.0227,48,0.0
P000716,0.179216,3,NEGAR,,,
P000717,0.046872,8,APROVAR,0.0247,60,0.0
P000718,0.169088,3,NEGAR,,,
P000719,0.054392,7,APROVAR,0.0256,48,0.0
P000720,0.17328,3,NEGAR,,,
P000721,0.040225,9,APROVAR,0.0236,48,0.0
P000722,0.057167,7,APROVAR,0.0256,60,0.0
P000723,0.179665,3,NEGAR,,,
P000724,0.18948,3,NEGAR,,,
P000725,0.030598,10,APROVAR,0.0227,36,0.0
P000726,0.04043,9,APROVAR,0.0236,48,0.0
P000727,0.075267,6,APROVAR,0.0265,48,0.21
P000728,0.370072,1,NEGAR,,,
P000729,0.03618,10,APROVAR,0.0227,48,0.0
P000730,0.136454,4,NEGAR,,,
P000731,0.030934,10,APROVAR,0.0227,24,0.0
P000732,0.197929,3,NEGAR,,,
P000733,0.302867,1,NEGAR,,,
P000734,0.059365,7,APROVAR,0.0256,24,0.0
P000735,0.217481,2,NEGAR,,,
P000736,0.774541,1,NEGAR,,,
P000737,0.25396,2,NEGAR,,,
P000738,0.034022,10,APROVAR,0.0227,36,0.0
P000739,0.038454,9,APROVAR,0.0236,24,0.0
P000740,0.638818,1,NEGAR,,,
P000741,0.063682,7,APROVAR,0.0256,48,0.0
P000742,0.121795,4,NEGAR,,,
P000743,0.195663,3,NEGAR,,,
P000744,0.04665,8,APROVAR,0.0247,48,0.0
P000745,0.05262,8,APROVAR,0.0247,48,0.0
P000746,0.053534,8,APROVAR,0.0247,36,0.0
P000747,0.085402,5,APROVAR,0.0282,24,0.21
P000748,0.212838,2,NEGAR,,,
P000749,0.405625,1,NEGAR,,,
P000750,0.173824,3,NEGAR,,,
P000751,0.04982,8,APROVAR,0.0247,48,0.0
P000752,0.165886,3,NEGAR,,,
P000753,0.030266,10,APROVAR,0.0227,36,0.0
P000754,0.455147,1,NEGAR,,,
P000755,0.030619,10,APROVAR,0.0227,36,0.0
P000756,0.06831,6,APROVAR,0.0265,24,0.21
P000757,0.131486,4,NEGAR,,,
P000758,0.141645,4,NEGAR,,,
P000759,0.312658,1,NEGAR,,,
P000760,0.180216,3,NEGAR,,,
P000761,0.022831,10,APROVAR,0.0227,48,0.0
P000762,0.038671,9,APROVAR,0.0236,36,0.0
P000763,0.07205,6,APROVAR,0.0265,36,0.21
P000764,0.168075,3,NEGAR,,,
P000765,0.025789,10,APROVAR,0.0227,24,0.0
P000766,0.032291,10,APROVAR,0.0227,60,0.0
P000767,0.146436,3,NEGAR,,,
P000768,0.163748,3,NEGAR,,,
P000769,0.032902,10,APROVAR,0.0227,60,0.0
P000770,0.222264,2,NEGAR,,,
P000771,0.041984,9,APROVAR,0.0236,48,0.0
P000772,0.032457,10,APROVAR,0.0227,48,0.0
P000773,0.316349,1,NEGAR,,,
P000774,0.031768,10,APROVAR,0.0227,36,0.0
P000775,0.393788,1,NEGAR,,,
P000776,0.038137,9,APROVAR,0.0236,48,0.0
P000777,0.027906,10,APROVAR,0.0227,36,0.0
P000778,0.067296,6,APROVAR,0.0265,60,0.21
P000779,0.063615,7,APROVAR,0.0256,36,0.0
P000780,0.061986,7,APROVAR,0.0256,60,0.0
P000781,0.083845,6,APROVAR,0.0265,60,0.21
P000782,0.30697,1,NEGAR,,,
P000783,0.300078,2,NEGAR,,,
P000784,0.207512,3,NEGAR,,,
P000785,0.126107,4,NEGAR,,,
P000786,0.069021,6,APROVAR,0.0265,24,0.21
P000787,0.042832,9,APROVAR,0.0236,36,0.0
P000788,0.295149,2,NEGAR,,,
P000789,0.042274,9,APROVAR,0.0236,60,0.0
P000790,0.084412,5,APROVAR,0.0282,36,0.21
P000791,0.627055,1,NEGAR,,,
P000792,0.069849,6,APROVAR,0.0265,48,0.21
P000793,0.048894,8,APROVAR,0.0247,36,0.0
P000794,0.214163,2,NEGAR,,,
P000795,0.274114,2,NEGAR,,,
P000796,0.378935,1,NEGAR,,,
P000797,0.043636,9,APROVAR,0.0236,60,0.0
P000798,0.108683,4,NEGAR,,,
P000799,0.052096,8,APROVAR,0.0247,36,0.0
P000800,0.042881,9,APROVAR,0.0236,24,0.0
P000801,0.053311,8,APROVAR,0.0247,36,0.0
P000802,0.150588,3,NEGAR,,,
P000803,0.046596,8,APROVAR,0.0247,24,0.0
P000804,0.057794,7,APROVAR,0.0256,60,0.0
P000805,0.029894,10,APROVAR,0.0227,60,0.0
P000806,0.280835,2,NEGAR,,,
P000807,0.045023,8,APROVAR,0.0247,60,0.0
P000808,0.278473,2,NEGAR,,,
P000809,0.036872,10,APROVAR,0.0227,60,0.0
P000810,0.09132,5,APROVAR,0.0282,36,0.21
P000811,0.318626,1,NEGAR,,,
P000812,0.041037,9,APROVAR,0.0236,36,0.0
P000813,0.120427,4,NEGAR,,,
P000814,0.288531,2,NEGAR,,,
P000815,0.03238,10,APROVAR,0.0227,36,0.0
P000816,0.33273,1,NEGAR,,,
P000817,0.127396,4,NEGAR,,,
P000818,0.324211,1,NEGAR,,,
P000819,0.071356,6,APROVAR,0.0265,24,0.21
P000820,0.060875,7,APROVAR,0.0256,48,0.0
P000821,0.05103,8,APROVAR,0.0247,24,0.0
P000822,0.027164,10,APROVAR,0.0227,36,0.0
P000823,0.102608,5,APROVAR,0.0282,36,0.21
P000824,0.198932,3,NEGAR,,,
P000825,0.038512,9,APROVAR,0.0236,36,0.0
P000826,0.464584,1,NEGAR,,,
P000827,0.040883,9,APROVAR,0.0236,36,0.0
P000828,0.185369,3,NEGAR,,,
P000829,0.26509,2,NEGAR,,,
P000830,0.299,2,NEGAR,,,
P000831,0.080616,6,APROVAR,0.0265,36,0.21
P000832,0.041454,9,APROVAR,0.0236,36,0.0
P000833,0.071279,6,APROVAR,0.0265,24,0.21
P000834,0.154472,3,NEGAR,,,
P000835,0.045555,8,APROVAR,0.0247,24,0.0
P000836,0.054017,8,APROVAR,0.0247,24,0.0
P000837,0.184691,3,NEGAR,,,
P000838,0.079412,6,APROVAR,0.0265,36,0.21
P000839,0.385209,1,NEGAR,,,
P000840,0.066557,6,APROVAR,0.0265,48,0.21
P000841,0.042987,9,APROVAR,0.0236,48,0.0
P000842,0.047284,8,APROVAR,0.0247,36,0.0
P000843,0.106198,5,APROVAR,0.0282,24,0.21
P000844,0.066274,7,APROVAR,0.0256,48,0.0
P000845,0.072874,6,APROVAR,0.0265,48,0.21
P000846,0.484753,1,NEGAR,,,
P000847,0.061514,7,APROVAR,0.0256,36,0.0
P000848,0.06337,7,APROVAR,0.0256,36,0.0
P000849,0.107054,4,NEGAR,,,
P000850,0.026996,10,APROVAR,0.0227,36,0.0
P000851,0.290558,2,NEGAR,,,
P000852,0.075586,6,APROVAR,0.0265,24,0.21
P000853,0.098147,5,APROVAR,0.0282,48,0.21
P000854,0.132138,4,NEGAR,,,
P000855,0.098228,5,APROVAR,0.0282,24,0.21
P000856,0.034332,10,APROVAR,0.0227,24,0.0
P000857,0.043242,9,APROVAR,0.0236,24,0.0
P000858,0.063056,7,APROVAR,0.0256,60,0.0
P000859,0.070911,6,APROVAR,0.0265,48,0.21
P000860,0.077541,6,APROVAR,0.0265,48,0.21
P000861,0.047428,8,APROVAR,0.0247,36,0.0
P000862,0.08333,6,APROVAR,0.0265,60,0.21
P000863,0.109828,4,NEGAR,,,
P000864,0.064341,7,APROVAR,0.0256,48,0.0
P000865,0.129922,4,NEGAR,,,
P000866,0.15814,3,NEGAR,,,
P000867,0.071773,6,APROVAR,0.0265,24,0.21
P000868,0.023196,10,APROVAR,0.0227,60,0.0
P000869,0.079959,6,APROVAR,0.0265,48,0.21
P000870,0.213199,2,NEGAR,,,
P000871,0.297718,2,NEGAR,,,
P000872,0.067878,6,APROVAR,0.0265,24,0.21
P000873,0.292563,2,NEGAR,,,
P000874,0.125742,4,NEGAR,,,
P000875,0.317213,1,NEGAR,,,
P000876,0.109389,4,NEGAR,,,
P000877,0.175405,3,NEGAR,,,
P000878,0.394599,1,NEGAR,,,
P000879,0.265032,2,NEGAR,,,
P000880,0.035404,10,APROVAR,0.0227,36,0.0
P000881,0.084257,5,APROVAR,0.0282,48,0.21
P000882,0.113952,4,NEGAR,,,
P000883,0.180243,3,NEGAR,,,
P000884,0.114339,4,NEGAR,,,
P000885,0.066641,6,APROVAR,0.0265,36,0.21
P000886,0.047023,8,APROVAR,0.0247,36,0.0
P000887,0.048642,8,APROVAR,0.0247,60,0.0
P000888,0.105699,5,APROVAR,0.0282,24,0.21
P000889,0.058265,7,APROVAR,0.0256,24,0.0
P000890,0.232418,2,NEGAR,,,
P000891,0.076789,6,APROVAR,0.0265,36,0.21
P000892,0.07898,6,APROVAR,0.0265,48,0.21
P000893,0.039472,9,APROVAR,0.0236,48,0.0
P000894,0.127679,4,NEGAR,,,
P000895,0.114661,4,NEGAR,,,
P000896,0.061668,7,APROVAR,0.0256,48,0.0
P000897,0.428609,1,NEGAR,,,
P000898,0.037099,9,APROVAR,0.0236,24,0.0
P000899,0.266724,2,NEGAR,,,
P000900,0.325854,1,NEGAR,,,
P000901,0.068156,6,APROVAR,0.0265,36,0.21
P000902,0.040082,9,APROVAR,0.0236,48,0.0
P000903,0.045523,8,APROVAR,0.0247,60,0.0
P000904,0.184724,3,NEGAR,,,
P000905,0.126382,4,NEGAR,,,
P000906,0.174616,3,NEGAR,,,
P000907,0.426269,1,NEGAR,,,
P000908,0.06395,7,APROVAR,0.0256,36,0.0
P000909,0.38828,1,NEGAR,,,
P000910,0.06773,6,APROVAR,0.0265,36,0.21
P000911,0.251469,2,NEGAR,,,
P000912,0.39959,1,NEGAR,,,
P000913,0.054448,7,APROVAR,0.0256,48,0.0
P000914,0.050673,8,APROVAR,0.0247,48,0.0
P000915,0.073695,6,APROVAR,0.0265,48,0.21
P000916,0.07211,6,APROVAR,0.0265,36,0.21
P000917,0.219751,2,NEGAR,,,
P000918,0.077908,6,APROVAR,0.0265,24,0.21
P000919,0.064987,7,APROVAR,0.0256,48,0.0
P000920,0.161419,3,NEGAR,,,
P000921,0.105612,5,APROVAR,0.0282,60,0.21
P000922,0.316919,1,NEGAR,,,
P000923,0.076278,6,APROVAR,0.0265,24,0.21
P000924,0.131264,4,NEGAR,,,
P000925,0.033185,10,APROVAR,0.0227,24,0.0
P000926,0.060617,7,APROVAR,0.0256,36,0.0
P000927,0.287185,2,NEGAR,,,
P000928,0.055728,7,APROVAR,0.0256,48,0.0
P000929,0.230764,2,NEGAR,,,
P000930,0.02291,10,APROVAR,0.0227,36,0.0
P000931,0.049911,8,APROVAR,0.0247,24,0.0
P000932,0.536642,1,NEGAR,,,
P000933,0.152837,3,NEGAR,,,
P000934,0.047393,8,APROVAR,0.0247,60,0.0
P000935,0.103675,5,APROVAR,0.0282,24,0.21
P000936,0.030869,10,APROVAR,0.0227,48,0.0
P000937,0.321448,1,NEGAR,,,
P000938,0.050869,8,APROVAR,0.0247,36,0.0
P000939,0.063482,7,APROVAR,0.0256,36,0.0
P000940,0.068109,6,APROVAR,0.0265,60,0.21
P000941,0.143775,3,NEGAR,,,
P000942,0.102556,5,APROVAR,0.0282,24,0.21
P000943,0.059456,7,APROVAR,0.0256,48,0.0
P000944,0.031583,10,APROVAR,0.0227,36,0.0
P000945,0.048816,8,APROVAR,0.0247,60,0.0
P000946,0.138605,4,NEGAR,,,
P000947,0.362281,1,NEGAR,,,
P000948,0.498881,1,NEGAR,,,
P000949,0.094153,5,APROVAR,0.0282,48,0.21
P000950,0.107406,4,NEGAR,,,
P000951,0.051217,8,APROVAR,0.0247,48,0.0
P000952,0.051012,8,APROVAR,0.0247,36,0.0
P000953,0.056636,7,APROVAR,0.0256,48,0.0
P000954,0.032336,10,APROVAR,0.0227,48,0.0
P000955,0.052489,8,APROVAR,0.0247,48,0.0
P000956,0.262849,2,NEGAR,,,
P000957,0.028743,10,APROVAR,0.0227,48,0.0
P000958,0.23677,2,NEGAR,,,
P000959,0.065818,7,APROVAR,0.0256,24,0.0
P000960,0.054165,8,APROVAR,0.0247,24,0.0
P000961,0.496284,1,NEGAR,,,
P000962,0.035118,10,APROVAR,0.0227,60,0.0
P000963,0.038066,9,APROVAR,0.0236,60,0.0
P000964,0.181103,3,NEGAR,,,
P000965,0.036299,10,APROVAR,0.0227,24,0.0
P000966,0.115595,4,NEGAR,,,
P000967,0.166021,3,NEGAR,,,
P000968,0.388662,1,NEGAR,,,
P000969,0.025077,10,APROVAR,0.0227,24,0.0
P000970,0.027717,10,APROVAR,0.0227,48,0.0
P000971,0.44445,1,NEGAR,,,
P000972,0.266287,2,NEGAR,,,
P000973,0.047733,8,APROVAR,0.0247,60,0.0
P000974,0.029982,10,APROVAR,0.0227,24,0.0
P000975,0.433814,1,NEGAR,,,
P000976,0.050958,8,APROVAR,0.0247,24,0.0
P000977,0.026865,10,APROVAR,0.0227,48,0.0
P000978,0.083042,6,APROVAR,0.0265,36,0.21
P000979,0.054565,7,APROVAR,0.0256,36,0.0
P000980,0.112666,4,NEGAR,,,
P000981,0.064247,7,APROVAR,0.0256,36,0.0
P000982,0.080263,6,APROVAR,0.0265,36,0.21
P000983,0.029498,10,APROVAR,0.0227,48,0.0
P000984,0.048151,8,APROVAR,0.0247,24,0.0
P000985,0.085328,5,APROVAR,0.0282,24,0.21
P000986,0.074488,6,APROVAR,0.0265,60,0.21
P000987,0.046128,8,APROVAR,0.0247,36,0.0
P000988,0.095178,5,APROVAR,0.0282,60,0.21
P000989,0.030411,10,APROVAR,0.0227,48,0.0
P000990,0.156072,3,NEGAR,,,
P000991,0.081769,6,APROVAR,0.0265,48,0.21
P000992,0.042442,9,APROVAR,0.0236,36,0.0
P000993,0.071257,6,APROVAR,0.0265,36,0.21
P000994,0.045416,8,APROVAR,0.0247,36,0.0
P000995,0.031635,10,APROVAR,0.0227,60,0.0
P000996,0.032683,10,APROVAR,0.0227,48,0.0
P000997,0.193198,3,NEGAR,,,
P000998,0.213804,2,NEGAR,,,
P000999,0.061573,7,APROVAR,0.0256,48,0.0
P001000,0.245294,2,NEGAR,,,
P001001,0.103995,5,APROVAR,0.0282,24,0.21
P001002,0.297736,2,NEGAR,,,
P001003,0.057641,7,APROVAR,0.0256,36,0.0
P001004,0.297337,2,NEGAR,,,
P001005,0.031777,10,APROVAR,0.0227,60,0.0
P001006,0.076707,6,APROVAR,0.0265,60,0.21
P001007,0.200444,3,NEGAR,,,
P001008,0.185216,3,NEGAR,,,
P001009,0.061833,7,APROVAR,0.0256,24,0.0
P001010,0.04161,9,APROVAR,0.0236,24,0.0
P001011,0.218016,2,NEGAR,,,
P001012,0.035409,10,APROVAR,0.0227,48,0.0
P001013,0.029778,10,APROVAR,0.0227,60,0.0
P001014,0.280582,2,NEGAR,,,
P001015,0.047784,8,APROVAR,0.0247,36,0.0
P001016,0.058072,7,APROVAR,0.0256,48,0.0
P001017,0.366761,1,NEGAR,,,
P001018,0.101575,5,APROVAR,0.0282,48,0.21
P001019,0.321886,1,NEGAR,,,
P001020,0.027933,10,APROVAR,0.0227,36,0.0
P001021,0.122771,4,NEGAR,,,
P001022,0.167507,3,NEGAR,,,
P001023,0.171411,3,NEGAR,,,
P001024,0.096003,5,APROVAR,0.0282,48,0.21
P001025,0.190526,3,NEGAR,,,
P001026,0.201666,3,NEGAR,,,
P001027,0.725563,1,NEGAR,,,
P001028,0.024715,10,APROVAR,0.0227,24,0.0
P001029,0.225391,2,NEGAR,,,
P001030,0.133532,4,NEGAR,,,
P001031,0.34647,1,NEGAR,,,
P001032,0.032152,10,APROVAR,0.0227,24,0.0
P001033,0.218014,2,NEGAR,,,
P001034,0.13923,4,NEGAR,,,
P001035,0.265495,2,NEGAR,,,
P001036,0.383427,1,NEGAR,,,
P001037,0.070913,6,APROVAR,0.0265,36,0.21
P001038,0.050487,8,APROVAR,0.0247,48,0.0
P001039,0.273733,2,NEGAR,,,
P001040,0.175691,3,NEGAR,,,
P001041,0.024689,10,APROVAR,0.0227,36,0.0
P001042,0.217896,2,NEGAR,,,
P001043,0.090404,5,APROVAR,0.0282,60,0.21
P001044,0.05137,8,APROVAR,0.0247,24,0.0
P001045,0.067176,6,APROVAR,0.0265,36,0.21
P001046,0.249894,2,NEGAR,,,
P001047,0.033365,10,APROVAR,0.0227,36,0.0
P001048,0.169754,3,NEGAR,,,
P001049,0.023325,10,APROVAR,0.0227,60,0.0
P001050,0.052578,8,APROVAR,0.0247,48,0.0
P001051,0.148768,3,NEGAR,,,
P001052,0.028553,10,APROVAR,0.0227,36,0.0
P001053,0.06234,7,APROVAR,0.0256,36,0.0
P001054,0.265122,2,NEGAR,,,
P001055,0.51126,1,NEGAR,,,
P001056,0.049707,8,APROVAR,0.0247,48,0.0
P001057,0.051073,8,APROVAR,0.0247,36,0.0
P001058,0.190922,3,NEGAR,,,
P001059,0.066906,6,APROVAR,0.0265,48,0.21
P001060,0.141352,4,NEGAR,,,
P001061,0.25059,2,NEGAR,,,
P001062,0.143416,3,NEGAR,,,
P001063,0.078122,6,APROVAR,0.0265,48,0.21
P001064,0.034761,10,APROVAR,0.0227,48,0.0
P001065,0.284169,2,NEGAR,,,
P001066,0.30346,1,NEGAR,,,
P001067,0.094101,5,APROVAR,0.0282,60,0.21
P001068,0.277107,2,NEGAR,,,
P001069,0.034981,10,APROVAR,0.0227,24,0.0
P001070,0.349192,1,NEGAR,,,
P001071,0.115079,4,NEGAR,,,
P001072,0.430403,1,NEGAR,,,
P001073,0.04317,9,APROVAR,0.0236,36,0.0
P001074,0.050065,8,APROVAR,0.0247,36,0.0
P001075,0.082506,6,APROVAR,0.0265,36,0.21
P001076,0.091178,5,APROVAR,0.0282,48,0.21
P001077,0.037691,9,APROVAR,0.0236,36,0.0
P001078,0.201609,3,NEGAR,,,
P001079,0.277521,2,NEGAR,,,
P001080,0.122874,4,NEGAR,,,
P001081,0.567684,1,NEGAR,,,
P001082,0.131332,4,NEGAR,,,
P001083,0.151141,3,NEGAR,,,
P001084,0.200288,3,NEGAR,,,
P001085,0.272646,2,NEGAR,,,
P001086,0.043962,9,APROVAR,0.0236,24,0.0
P001087,0.067071,6,APROVAR,0.0265,48,0.21
P001088,0.114649,4,NEGAR,,,
P001089,0.100214,5,APROVAR,0.0282,60,0.21
P001090,0.044085,9,APROVAR,0.0236,48,0.0
P001091,0.247358,2,NEGAR,,,
P001092,0.019883,10,APROVAR,0.0227,48,0.0
P001093,0.039506,9,APROVAR,0.0236,36,0.0
P001094,0.217185,2,NEGAR,,,
P001095,0.053087,8,APROVAR,0.0247,48,0.0
P001096,0.214485,2,NEGAR,,,
P001097,0.184908,3,NEGAR,,,
P001098,0.051833,8,APROVAR,0.0247,48,0.0
P001099,0.240278,2,NEGAR,,,
P001100,0.031433,10,APROVAR,0.0227,48,0.0
P001101,0.382049,1,NEGAR,,,
P001102,0.291208,2,NEGAR,,,
P001103,0.040081,9,APROVAR,0.0236,48,0.0
P001104,0.255361,2,NEGAR,,,
P001105,0.430211,1,NEGAR,,,
P001106,0.108343,4,NEGAR,,,
P001107,0.061993,7,APROVAR,0.0256,48,0.0
P001108,0.328349,1,NEGAR,,,
P001109,0.090849,5,APROVAR,0.0282,48,0.21
P001110,0.137293,4,NEGAR,,,
P001111,0.311092,1,NEGAR,,,
P001112,0.061079,7,APROVAR,0.0256,48,0.0
P001113,0.163758,3,NEGAR,,,
P001114,0.170991,3,NEGAR,,,
P001115,0.072738,6,APROVAR,0.0265,24,0.21
P001116,0.038415,9,APROVAR,0.0236,24,0.0
P001117,0.109222,4,NEGAR,,,
P001118,0.123459,4,NEGAR,,,
P001119,0.226935,2,NEGAR,,,
P001120,0.107574,4,NEGAR,,,
P001121,0.041607,9,APROVAR,0.0236,48,0.0
P001122,0.279745,2,NEGAR,,,
P001123,0.157029,3,NEGAR,,,
P001124,0.082796,6,APROVAR,0.0265,60,0.21
P001125,0.033359,10,APROVAR,0.0227,48,0.0
P001126,0.02942,10,APROVAR,0.0227,36,0.0
P001127,0.037628,9,APROVAR,0.0236,48,0.0
P001128,0.097311,5,APROVAR,0.0282,36,0.21
P001129,0.536032,1,NEGAR,,,
P001130,0.035195,10,APROVAR,0.0227,48,0.0
P001131,0.305712,1,NEGAR,,,
P001132,0.294324,2,NEGAR,,,
P001133,0.333734,1,NEGAR,,,
P001134,0.264085,2,NEGAR,,,
P001135,0.045074,8,APROVAR,0.0247,48,0.0
P001136,0.310605,1,NEGAR,,,
P001137,0.027628,10,APROVAR,0.0227,60,0.0
P001138,0.025423,10,APROVAR,0.0227,60,0.0
P001139,0.081657,6,APROVAR,0.0265,48,0.21
P001140,0.068666,6,APROVAR,0.0265,48,0.21
P001141,0.049986,8,APROVAR,0.0247,24,0.0
P001142,0.07507,6,APROVAR,0.0265,48,0.21
P001143,0.053934,8,APROVAR,0.0247,24,0.0
P001144,0.579989,1,NEGAR,,,
P001145,0.056846,7,APROVAR,0.0256,48,0.0
P001146,0.086332,5,APROVAR,0.0282,60,0.21
P001147,0.133967,4,NEGAR,,,
P001148,0.160695,3,NEGAR,,,
P001149,0.03712,9,APROVAR,0.0236,60,0.0
P001150,0.032807,10,APROVAR,0.0227,36,0.0
P001151,0.199449,3,NEGAR,,,
P001152,0.197515,3,NEGAR,,,
