id_proposta,faixa,pd_enquadramento,decisao,taxa_am,prazo_meses,pct_entrada_minima,pct_entrada_efetiva,valor_entrada,valor_financiado,ltv,idade_veiculo_anos,possui_avalista,pd_oferta
P001480,2,0.2657,NEGAR,0.035,48,0.21,0.21,9681.0,36419.0,0.79,4,Não,0.21304
P001481,3,0.207504,NEGAR,0.0336,60,0.21,0.2672,5878.4,16121.6,0.7328,7,Sim,0.207504
P001482,9,0.038152,APROVAR,0.0236,36,0.0,0.0813,4479.63,50620.37,0.9187,4,Não,0.038152
P001483,7,0.055435,APROVAR,0.0256,60,0.0,0.1487,7925.71,45374.29,0.8513,3,Não,0.055435
P001484,3,0.145103,NEGAR,0.0336,36,0.21,0.298,6794.4,16005.6,0.702,4,Não,0.145103
P001485,4,0.123025,NEGAR,0.0303,60,0.21,0.5429,19707.27,16592.73,0.4571,5,Sim,0.123025
P001486,8,0.049892,APROVAR,0.0247,36,0.0,0.2294,5046.8,16953.2,0.7706,4,Não,0.049892
P001487,8,0.050156,APROVAR,0.0247,36,0.0,0.2448,7392.96,22807.04,0.7552,2,Não,0.050156
P001488,5,0.085561,APROVAR,0.0282,36,0.21,0.2884,10238.2,25261.8,0.7116,1,Não,0.085561
P001489,6,0.074269,APROVAR,0.0265,36,0.21,0.3577,7905.17,14194.83,0.6423,0,Sim,0.074269
P001490,6,0.075636,APROVAR,0.0265,36,0.21,0.3147,12367.71,26932.29,0.6853,1,Sim,0.075636
P001491,10,0.027735,APROVAR,0.0227,24,0.0,0.4603,40782.58,47817.42,0.5397,3,Não,0.027735
P001492,8,0.046559,APROVAR,0.0247,48,0.0,0.2401,21152.81,66947.19,0.7599,7,Sim,0.046559
P001493,2,0.236893,NEGAR,0.035,36,0.21,0.21,7602.0,28598.0,0.79,3,Sim,0.245242
P001494,7,0.060126,APROVAR,0.0256,60,0.0,0.1683,6412.23,31687.77,0.8317,5,Não,0.060126
P001495,9,0.038881,APROVAR,0.0236,48,0.0,0.4289,30580.57,40719.43,0.5711,4,Não,0.038881
P001496,8,0.045987,APROVAR,0.0247,48,0.0,0.3794,37598.54,61501.46,0.6206,1,Não,0.045987
P001497,8,0.050817,APROVAR,0.0247,36,0.0,0.4591,16435.78,19364.22,0.5409,2,Não,0.050817
P001498,5,0.095016,APROVAR,0.0282,24,0.21,0.2471,8179.01,24920.99,0.7529,3,Não,0.095016
P001499,6,0.077843,APROVAR,0.0265,24,0.21,0.2519,8035.61,23864.39,0.7481,4,Não,0.077843
P001500,7,0.061569,APROVAR,0.0256,36,0.0,0.2877,6818.49,16881.51,0.7123,5,Sim,0.061569
P001501,10,0.034194,APROVAR,0.0227,36,0.0,0.4657,24449.25,28050.75,0.5343,1,Não,0.034194
P001502,4,0.130353,NEGAR,0.0303,24,0.21,0.21,10500.0,39500.0,0.79,11,Não,0.117064
P001503,8,0.046964,APROVAR,0.0247,24,0.0,0.2195,13433.4,47766.6,0.7805,1,Não,0.046964
P001504,1,0.32473,NEGAR,0.035,36,0.21,0.21,6993.0,26307.0,0.79,5,Não,0.314135
P001505,5,0.101808,APROVAR,0.0282,48,0.21,0.21,9219.0,34681.0,0.79,1,Não,0.086831
P001506,7,0.057797,APROVAR,0.0256,36,0.0,0.2282,11683.84,39516.16,0.7718,3,Não,0.057797
P001507,5,0.10487,APROVAR,0.0282,36,0.21,0.21,8757.0,32943.0,0.79,3,Não,0.092523
P001508,10,0.025948,APROVAR,0.0227,60,0.0,0.128,10585.6,72114.4,0.872,2,Não,0.025948
P001509,4,0.1169,NEGAR,0.0303,60,0.21,0.21,6342.0,23858.0,0.79,3,Não,0.121402
P001510,1,0.452717,NEGAR,0.035,60,0.21,0.2923,14351.93,34748.07,0.7077,3,Não,0.452717
P001511,4,0.108546,NEGAR,0.0303,48,0.21,0.21,6300.0,23700.0,0.79,3,Não,0.111865
P001512,10,0.033105,APROVAR,0.0227,48,0.0,0.092,4103.2,40496.8,0.908,1,Não,0.033105
P001513,2,0.282668,NEGAR,0.035,36,0.21,0.5143,11314.6,10685.4,0.4857,5,Sim,0.282668
P001514,3,0.201589,NEGAR,0.0336,36,0.21,0.4188,20563.08,28536.92,0.5812,4,Não,0.201589
P001515,4,0.138166,NEGAR,0.0303,48,0.21,0.21,4620.0,17380.0,0.79,12,Sim,0.137806
P001516,2,0.254232,NEGAR,0.035,60,0.21,0.21,4620.0,17380.0,0.79,1,Sim,0.2358
P001517,8,0.053579,APROVAR,0.0247,60,0.0,0.1291,3175.86,21424.14,0.8709,11,Não,0.053579
P001518,1,0.519371,NEGAR,0.035,48,0.21,0.21,9156.0,34444.0,0.79,5,Não,0.530527
P001519,5,0.099806,APROVAR,0.0282,36,0.21,0.3705,8299.2,14100.8,0.6295,4,Não,0.099806
P001520,3,0.143874,NEGAR,0.0336,24,0.21,0.322,7084.0,14916.0,0.678,1,Não,0.143874
P001521,10,0.030438,APROVAR,0.0227,60,0.0,0.0863,2960.09,31339.91,0.9137,1,Não,0.030438
P001522,3,0.191496,NEGAR,0.0336,36,0.21,0.6257,13765.4,8234.6,0.3743,3,Não,0.191496
P001523,10,0.031534,APROVAR,0.0227,36,0.0,0.635,22733.0,13067.0,0.365,5,Não,0.031534
P001524,10,0.033001,APROVAR,0.0227,48,0.0,0.4642,17778.86,20521.14,0.5358,5,Não,0.033001
P001525,4,0.11944,NEGAR,0.0303,48,0.21,0.3577,21032.76,37767.24,0.6423,2,Não,0.11944
P001526,2,0.21019,NEGAR,0.035,48,0.21,0.3788,22879.52,37520.48,0.6212,9,Não,0.21019
P001527,1,0.577423,NEGAR,0.035,60,0.21,0.2349,5167.8,16832.2,0.7651,8,Não,0.577423
P001528,3,0.192378,NEGAR,0.0336,36,0.21,0.21,9513.0,35787.0,0.79,5,Não,0.185095
P001529,10,0.034395,APROVAR,0.0227,36,0.0,0.3654,15419.88,26780.12,0.6346,4,Não,0.034395
P001530,3,0.160413,NEGAR,0.0336,60,0.21,0.21,5943.0,22357.0,0.79,8,Não,0.170098
P001531,2,0.275764,NEGAR,0.035,48,0.21,0.2252,7116.32,24483.68,0.7748,1,Não,0.275764
P001532,9,0.043406,APROVAR,0.0236,36,0.0,0.1833,8065.2,35934.8,0.8167,3,Não,0.043406
P001533,2,0.29575,NEGAR,0.035,60,0.21,0.21,4620.0,17380.0,0.79,6,Não,0.297514
P001534,2,0.292879,NEGAR,0.035,24,0.21,0.21,18480.0,69520.0,0.79,3,Não,0.288276
P001535,10,0.036532,APROVAR,0.0227,48,0.0,0.0938,6003.2,57996.8,0.9062,0,Não,0.036532
P001536,8,0.047268,APROVAR,0.0247,24,0.0,0.2816,17008.64,43391.36,0.7184,2,Não,0.047268
P001537,1,0.429549,NEGAR,0.035,48,0.21,0.21,12054.0,45346.0,0.79,3,Não,0.296186
P001538,6,0.070778,APROVAR,0.0265,60,0.21,0.3014,6781.5,15718.5,0.6986,5,Não,0.070778
P001539,9,0.044576,APROVAR,0.0236,48,0.0,0.3435,17724.6,33875.4,0.6565,1,Não,0.044576
P001540,10,0.034167,APROVAR,0.0227,24,0.0,0.1291,8675.52,58524.48,0.8709,0,Não,0.034167
P001541,9,0.04306,APROVAR,0.0236,60,0.0,0.3184,12608.64,26991.36,0.6816,2,Não,0.04306
P001542,5,0.085261,APROVAR,0.0282,48,0.21,0.3618,26700.84,47099.16,0.6382,2,Não,0.085261
P001543,7,0.062425,APROVAR,0.0256,24,0.0,0.2388,6113.28,19486.72,0.7612,5,Não,0.062425
P001544,1,0.590323,NEGAR,0.035,60,0.21,0.21,8232.0,30968.0,0.79,8,Não,0.517053
P001545,10,0.036098,APROVAR,0.0227,24,0.0,0.2197,13247.91,47052.09,0.7803,4,Não,0.036098
P001546,9,0.038931,APROVAR,0.0236,48,0.0,0.3996,15224.76,22875.24,0.6004,6,Não,0.038931
P001547,3,0.15619,NEGAR,0.0336,36,0.21,0.21,7938.0,29862.0,0.79,3,Não,0.097993
P001548,6,0.080512,APROVAR,0.0265,48,0.21,0.21,7098.0,26702.0,0.79,1,Sim,0.061019
P001549,8,0.053415,APROVAR,0.0247,36,0.0,0.5572,18164.72,14435.28,0.4428,4,Não,0.053415
P001550,1,0.510028,NEGAR,0.035,48,0.21,0.21,6237.0,23463.0,0.79,2,Sim,0.518354
P001551,10,0.034055,APROVAR,0.0227,24,0.0,0.1171,5023.59,37876.41,0.8829,6,Não,0.034055
P001552,8,0.053613,APROVAR,0.0247,48,0.0,0.3834,47656.62,76643.38,0.6166,2,Não,0.053613
P001553,8,0.052756,APROVAR,0.0247,36,0.0,0.1615,4538.15,23561.85,0.8385,7,Não,0.052756
P001554,8,0.049555,APROVAR,0.0247,60,0.0,0.2617,7222.92,20377.08,0.7383,4,Não,0.049555
P001555,4,0.119748,NEGAR,0.0303,60,0.21,0.21,8295.0,31205.0,0.79,7,Não,0.063082
P001556,9,0.043766,APROVAR,0.0236,48,0.0,0.1512,7212.24,40487.76,0.8488,8,Não,0.043766
P001557,2,0.227334,NEGAR,0.035,36,0.21,0.3419,7795.32,15004.68,0.6581,3,Sim,0.227334
P001558,4,0.141559,NEGAR,0.0303,60,0.21,0.21,9786.0,36814.0,0.79,2,Não,0.077342
P001559,4,0.122587,NEGAR,0.0303,24,0.21,0.2487,9773.91,29526.09,0.7513,1,Não,0.122587
P001560,4,0.108133,NEGAR,0.0303,48,0.21,0.2274,9096.0,30904.0,0.7726,6,Sim,0.108133
P001561,9,0.037059,APROVAR,0.0236,48,0.0,0.1569,3859.74,20740.26,0.8431,12,Não,0.037059
P001562,4,0.122716,NEGAR,0.0303,24,0.21,0.2694,15571.32,42228.68,0.7306,1,Sim,0.122716
P001563,8,0.046786,APROVAR,0.0247,60,0.0,0.3786,8329.2,13670.8,0.6214,1,Não,0.046786
P001564,1,0.462138,NEGAR,0.035,60,0.21,0.21,7497.0,28203.0,0.79,7,Não,0.476723
P001565,2,0.289666,NEGAR,0.035,60,0.21,0.21,6216.0,23384.0,0.79,3,Sim,0.297042
P001566,8,0.051769,APROVAR,0.0247,48,0.0,0.1655,6090.4,30709.6,0.8345,3,Sim,0.051769
P001567,5,0.09486,APROVAR,0.0282,24,0.21,0.21,19782.0,74418.0,0.79,3,Sim,0.102354
P001568,8,0.044926,APROVAR,0.0247,36,0.0,0.1237,7211.71,51088.29,0.8763,5,Não,0.044926
P001569,8,0.045066,APROVAR,0.0247,60,0.0,0.2215,8062.6,28337.4,0.7785,4,Não,0.045066
P001570,10,0.036641,APROVAR,0.0227,24,0.0,0.1893,4448.55,19051.45,0.8107,4,Não,0.036641
P001571,1,0.313271,NEGAR,0.035,24,0.21,0.21,6069.0,22831.0,0.79,8,Não,0.313271
P001572,5,0.089785,APROVAR,0.0282,60,0.21,0.21,12663.0,47637.0,0.79,1,Não,0.092032
P001573,6,0.075175,APROVAR,0.0265,48,0.21,0.21,8442.0,31758.0,0.79,2,Não,0.065596
P001574,5,0.089357,APROVAR,0.0282,60,0.21,0.5714,28627.14,21472.86,0.4286,3,Não,0.089357
P001575,10,0.036306,APROVAR,0.0227,36,0.0,0.097,3084.6,28715.4,0.903,2,Não,0.036306
P001576,10,0.030052,APROVAR,0.0227,48,0.0,0.2091,5185.68,19614.32,0.7909,2,Não,0.030052
P001577,5,0.102623,APROVAR,0.0282,24,0.21,0.21,8988.0,33812.0,0.79,10,Não,0.066928
P001578,4,0.130634,NEGAR,0.0303,48,0.21,0.21,10185.0,38315.0,0.79,2,Não,0.076626
P001579,10,0.030609,APROVAR,0.0227,36,0.0,0.2757,16073.31,42226.69,0.7243,4,Não,0.030609
P001580,8,0.051741,APROVAR,0.0247,48,0.0,0.3672,37234.08,64165.92,0.6328,4,Não,0.051741
P001581,5,0.094172,APROVAR,0.0282,48,0.21,0.21,5481.0,20619.0,0.79,4,Sim,0.056815
P001582,1,0.324884,NEGAR,0.035,48,0.21,0.2282,6024.48,20375.52,0.7718,10,Não,0.324884
P001583,4,0.138255,NEGAR,0.0303,48,0.21,0.4921,11465.93,11834.07,0.5079,0,Não,0.138255
P001584,9,0.039443,APROVAR,0.0236,24,0.0,0.1815,13394.7,60405.3,0.8185,1,Não,0.039443
P001585,9,0.042548,APROVAR,0.0236,36,0.0,0.1549,8147.74,44452.26,0.8451,1,Sim,0.042548
P001586,2,0.218001,NEGAR,0.035,36,0.21,0.2304,6704.64,22395.36,0.7696,8,Não,0.218001
P001587,8,0.045317,APROVAR,0.0247,24,0.0,0.2627,18100.03,50799.97,0.7373,1,Não,0.045317
P001588,2,0.253897,NEGAR,0.035,48,0.21,0.21,4620.0,17380.0,0.79,3,Sim,0.252539
P001589,2,0.213404,NEGAR,0.035,60,0.21,0.21,6825.0,25675.0,0.79,3,Sim,0.244571
P001590,3,0.177032,NEGAR,0.0336,48,0.21,0.21,5628.0,21172.0,0.79,12,Sim,0.190232
P001591,2,0.256499,NEGAR,0.035,36,0.21,0.21,6552.0,24648.0,0.79,7,Não,0.306424
P001592,8,0.048945,APROVAR,0.0247,36,0.0,0.1556,5928.36,32171.64,0.8444,5,Não,0.048945
P001593,9,0.038195,APROVAR,0.0236,60,0.0,0.3195,14697.0,31303.0,0.6805,5,Sim,0.038195
P001594,8,0.047184,APROVAR,0.0247,48,0.0,0.08,2976.0,34224.0,0.92,8,Não,0.047184
P001595,1,0.347213,NEGAR,0.035,60,0.21,0.4567,23520.05,27979.95,0.5433,7,Sim,0.347213
P001596,10,0.030352,APROVAR,0.0227,48,0.0,0.2715,22018.65,59081.35,0.7285,1,Não,0.030352
P001597,3,0.156148,NEGAR,0.0336,48,0.21,0.21,26817.0,100883.0,0.79,8,Não,0.14783
P001598,9,0.044607,APROVAR,0.0236,24,0.0,0.2839,14564.07,36735.93,0.7161,6,Não,0.044607
P001599,7,0.059655,APROVAR,0.0256,48,0.0,0.2692,22047.48,59852.52,0.7308,2,Não,0.059655
P001600,10,0.036858,APROVAR,0.0227,48,0.0,0.1684,4934.12,24365.88,0.8316,3,Não,0.036858
P001601,1,0.479382,NEGAR,0.035,60,0.21,0.2814,11087.16,28312.84,0.7186,2,Não,0.479382
P001602,1,0.389765,NEGAR,0.035,60,0.21,0.3496,7691.2,14308.8,0.6504,9,Não,0.389765
P001603,9,0.037023,APROVAR,0.0236,36,0.0,0.3055,14266.85,32433.15,0.6945,7,Não,0.037023
P001604,1,0.319935,NEGAR,0.035,24,0.21,0.21,4809.0,18091.0,0.79,2,Sim,0.255723
P001605,10,0.030883,APROVAR,0.0227,48,0.0,0.0978,2288.52,21111.48,0.9022,4,Não,0.030883
P001606,2,0.296688,NEGAR,0.035,36,0.21,0.21,4620.0,17380.0,0.79,6,Não,0.296688
P001607,6,0.082427,APROVAR,0.0265,48,0.21,0.21,7203.0,27097.0,0.79,5,Não,0.0823
P001608,6,0.077489,APROVAR,0.0265,60,0.21,0.3924,26604.72,41195.28,0.6076,2,Não,0.077489
P001609,10,0.032278,APROVAR,0.0227,36,0.0,0.3292,30483.92,62116.08,0.6708,2,Não,0.032278
P001610,6,0.083181,APROVAR,0.0265,48,0.21,0.21,9807.0,36893.0,0.79,2,Não,0.07985
P001611,9,0.039808,APROVAR,0.0236,48,0.0,0.4016,12007.84,17892.16,0.5984,1,Não,0.039808
P001612,7,0.062133,APROVAR,0.0256,48,0.0,0.4186,9209.2,12790.8,0.5814,5,Não,0.062133
P001613,9,0.038743,APROVAR,0.0236,60,0.0,0.1605,10143.6,53056.4,0.8395,5,Não,0.038743
P001614,1,0.378886,NEGAR,0.035,36,0.21,0.21,6384.0,24016.0,0.79,12,Sim,0.323442
P001615,10,0.025844,APROVAR,0.0227,60,0.0,0.149,12814.0,73186.0,0.851,2,Não,0.025844
P001616,2,0.275149,NEGAR,0.035,48,0.21,0.2988,14491.8,34008.2,0.7012,5,Não,0.275149
P001617,2,0.265949,NEGAR,0.035,60,0.21,0.21,7980.0,30020.0,0.79,9,Não,0.284404
P001618,3,0.154432,NEGAR,0.0336,60,0.21,0.2953,7116.73,16983.27,0.7047,8,Não,0.154432
P001619,8,0.053262,APROVAR,0.0247,36,0.0,0.183,4026.0,17974.0,0.817,12,Sim,0.053262
P001620,9,0.043174,APROVAR,0.0236,36,0.0,0.5046,28509.9,27990.1,0.4954,2,Não,0.043174
P001621,2,0.240865,NEGAR,0.035,36,0.21,0.21,9996.0,37604.0,0.79,4,Não,0.182676
P001622,2,0.26171,NEGAR,0.035,48,0.21,0.21,6258.0,23542.0,0.79,6,Sim,0.25974
P001623,6,0.077761,APROVAR,0.0265,24,0.21,0.21,4620.0,17380.0,0.79,7,Não,0.047316
P001624,2,0.265459,NEGAR,0.035,48,0.21,0.21,10983.0,41317.0,0.79,8,Sim,0.248014
P001625,5,0.096445,APROVAR,0.0282,24,0.21,0.21,20265.0,76235.0,0.79,3,Sim,0.09038
P001626,9,0.041725,APROVAR,0.0236,60,0.0,0.0921,3094.56,30505.44,0.9079,5,Sim,0.041725
P001627,4,0.120807,NEGAR,0.0303,24,0.21,0.21,7623.0,28677.0,0.79,7,Não,0.136419
P001628,1,0.67474,NEGAR,0.035,60,0.21,0.21,4620.0,17380.0,0.79,6,Não,0.676943
P001629,7,0.062738,APROVAR,0.0256,60,0.0,0.2152,4734.4,17265.6,0.7848,2,Não,0.062738
P001630,3,0.192294,NEGAR,0.0336,24,0.21,0.21,10164.0,38236.0,0.79,7,Sim,0.189654
P001631,5,0.09436,APROVAR,0.0282,48,0.21,0.2169,5682.78,20517.22,0.7831,2,Sim,0.09436
P001632,2,0.300998,NEGAR,0.035,48,0.21,0.3817,11107.47,17992.53,0.6183,9,Não,0.300998
P001633,1,0.47473,NEGAR,0.035,24,0.21,0.2321,5106.2,16893.8,0.7679,2,Não,0.47473
P001634,7,0.05853,APROVAR,0.0256,36,0.0,0.0749,4494.0,55506.0,0.9251,1,Não,0.05853
P001635,2,0.295182,NEGAR,0.035,48,0.21,0.21,7560.0,28440.0,0.79,3,Não,0.210383
P001636,6,0.066592,APROVAR,0.0265,24,0.21,0.2303,29939.0,100061.0,0.7697,6,Não,0.066592
P001637,5,0.102094,APROVAR,0.0282,24,0.21,0.3669,16363.74,28236.26,0.6331,6,Sim,0.102094
P001638,6,0.07092,APROVAR,0.0265,60,0.21,0.21,8715.0,32785.0,0.79,4,Sim,0.065398
P001639,9,0.040003,APROVAR,0.0236,36,0.0,0.4532,17312.24,20887.76,0.5468,6,Não,0.040003
P001640,9,0.042597,APROVAR,0.0236,60,0.0,0.1067,5687.11,47612.89,0.8933,1,Sim,0.042597
P001641,3,0.143812,NEGAR,0.0336,60,0.21,0.21,9114.0,34286.0,0.79,1,Não,0.126264
P001642,10,0.033461,APROVAR,0.0227,60,0.0,0.4124,11134.8,15865.2,0.5876,12,Não,0.033461
P001643,10,0.034006,APROVAR,0.0227,60,0.0,0.2513,9172.45,27327.55,0.7487,6,Não,0.034006
P001644,10,0.032167,APROVAR,0.0227,60,0.0,0.135,3982.5,25517.5,0.865,5,Não,0.032167
P001645,3,0.202844,NEGAR,0.0336,48,0.21,0.21,4620.0,17380.0,0.79,9,Não,0.191636
P001646,4,0.119795,NEGAR,0.0303,48,0.21,0.2117,8086.94,30113.06,0.7883,3,Sim,0.119795
P001647,4,0.109923,NEGAR,0.0303,36,0.21,0.21,6909.0,25991.0,0.79,2,Sim,0.126987
P001648,10,0.032808,APROVAR,0.0227,60,0.0,0.4117,29683.57,42416.43,0.5883,3,Não,0.032808
P001649,9,0.043149,APROVAR,0.0236,36,0.0,0.376,8272.0,13728.0,0.624,4,Não,0.043149
P001650,3,0.145796,NEGAR,0.0336,24,0.21,0.4235,10502.8,14297.2,0.5765,6,Não,0.145796
P001651,6,0.070836,APROVAR,0.0265,24,0.21,0.21,16359.0,61541.0,0.79,7,Não,0.04112
P001652,2,0.21494,NEGAR,0.035,48,0.21,0.21,4977.0,18723.0,0.79,4,Não,0.160064
P001653,10,0.035815,APROVAR,0.0227,60,0.0,0.1654,15316.04,77283.96,0.8346,2,Não,0.035815
P001654,4,0.141094,NEGAR,0.0303,60,0.21,0.21,9996.0,37604.0,0.79,4,Não,0.128573
P001655,5,0.096099,APROVAR,0.0282,36,0.21,0.2795,7462.65,19237.35,0.7205,1,Não,0.096099
P001656,10,0.031574,APROVAR,0.0227,48,0.0,0.6679,31524.88,15675.12,0.3321,3,Não,0.031574
P001657,2,0.240955,NEGAR,0.035,48,0.21,0.21,4620.0,17380.0,0.79,4,Sim,0.247829
P001658,8,0.048682,APROVAR,0.0247,60,0.0,0.0755,4967.9,60832.1,0.9245,3,Não,0.048682
P001659,2,0.213563,NEGAR,0.035,36,0.21,0.3161,11632.48,25167.52,0.6839,2,Não,0.213563
P001660,7,0.056346,APROVAR,0.0256,48,0.0,0.3911,15565.78,24234.22,0.6089,3,Não,0.056346
P001661,1,0.77385,NEGAR,0.035,60,0.21,0.462,10164.0,11836.0,0.538,0,Sim,0.77385
P001662,8,0.048896,APROVAR,0.0247,24,0.0,0.2791,8540.46,22059.54,0.7209,6,Não,0.048896
P001663,5,0.092052,APROVAR,0.0282,36,0.21,0.2554,15247.38,44452.62,0.7446,2,Não,0.092052
P001664,8,0.051161,APROVAR,0.0247,36,0.0,0.3404,12288.44,23811.56,0.6596,6,Não,0.051161
P001665,9,0.041952,APROVAR,0.0236,24,0.0,0.3986,9526.54,14373.46,0.6014,4,Não,0.041952
P001666,3,0.192891,NEGAR,0.0336,36,0.21,0.2883,10695.93,26404.07,0.7117,5,Não,0.192891
P001667,1,0.337179,NEGAR,0.035,60,0.21,0.21,7665.0,28835.0,0.79,6,Sim,0.365433
P001668,7,0.061351,APROVAR,0.0256,36,0.0,0.151,7731.2,43468.8,0.849,4,Sim,0.061351
P001669,1,0.428028,NEGAR,0.035,36,0.21,0.2535,8035.95,23664.05,0.7465,4,Sim,0.428028
P001670,1,0.383653,NEGAR,0.035,24,0.21,0.21,7896.0,29704.0,0.79,4,Não,0.261115
P001671,6,0.067388,APROVAR,0.0265,24,0.21,0.21,11172.0,42028.0,0.79,2,Não,0.05758
P001672,3,0.174306,NEGAR,0.0336,24,0.21,0.2607,13608.54,38591.46,0.7393,3,Sim,0.174306
P001673,2,0.210182,NEGAR,0.035,60,0.21,0.21,11361.0,42739.0,0.79,2,Sim,0.211573
P001674,8,0.053964,APROVAR,0.0247,36,0.0,0.1051,2312.2,19687.8,0.8949,2,Não,0.053964
P001675,1,0.419556,NEGAR,0.035,48,0.21,0.21,5859.0,22041.0,0.79,7,Sim,0.346654
P001676,2,0.27007,NEGAR,0.035,48,0.21,0.21,7140.0,26860.0,0.79,2,Sim,0.208073
P001677,3,0.170852,NEGAR,0.0336,24,0.21,0.21,11046.0,41554.0,0.79,1,Não,0.170522
P001678,3,0.146772,NEGAR,0.0336,48,0.21,0.3286,18105.86,36994.14,0.6714,1,Sim,0.146772
P001679,1,0.371603,NEGAR,0.035,48,0.21,0.21,4620.0,17380.0,0.79,8,Sim,0.267587
P001680,7,0.06431,APROVAR,0.0256,48,0.0,0.1917,4217.4,17782.6,0.8083,5,Não,0.06431
P001681,9,0.0433,APROVAR,0.0236,60,0.0,0.0933,2705.7,26294.3,0.9067,1,Não,0.0433
P001682,2,0.292834,NEGAR,0.035,48,0.21,0.6179,18289.84,11310.16,0.3821,5,Não,0.292834
P001683,3,0.203723,NEGAR,0.0336,60,0.21,0.2633,8478.26,23721.74,0.7367,5,Não,0.203723
P001684,9,0.038878,APROVAR,0.0236,36,0.0,0.3401,32275.49,62624.51,0.6599,5,Não,0.038878
P001685,7,0.061472,APROVAR,0.0256,48,0.0,0.2778,10584.18,27515.82,0.7222,1,Sim,0.061472
P001686,1,0.302644,NEGAR,0.035,60,0.21,0.21,4620.0,17380.0,0.79,4,Não,0.302644
P001687,10,0.035616,APROVAR,0.0227,36,0.0,0.2598,13483.62,38416.38,0.7402,2,Não,0.035616
P001688,3,0.148948,NEGAR,0.0336,24,0.21,0.21,5859.0,22041.0,0.79,7,Não,0.161415
P001689,6,0.071504,APROVAR,0.0265,48,0.21,0.3453,28521.78,54078.22,0.6547,8,Não,0.071504
P001690,2,0.295153,NEGAR,0.035,48,0.21,0.21,6027.0,22673.0,0.79,2,Não,0.290196
P001691,3,0.155059,NEGAR,0.0336,60,0.21,0.2471,18235.98,55564.02,0.7529,4,Não,0.155059
P001692,3,0.17159,NEGAR,0.0336,48,0.21,0.2226,14535.78,50764.22,0.7774,12,Sim,0.17159
P001693,9,0.038126,APROVAR,0.0236,48,0.0,0.2806,8670.54,22229.46,0.7194,4,Não,0.038126
P001694,6,0.076362,APROVAR,0.0265,24,0.21,0.6279,13813.8,8186.2,0.3721,0,Não,0.076362
P001695,6,0.071151,APROVAR,0.0265,36,0.21,0.6815,20513.15,9586.85,0.3185,3,Não,0.071151
P001696,4,0.136588,NEGAR,0.0303,36,0.21,0.21,7980.0,30020.0,0.79,9,Não,0.100427
P001697,6,0.081322,APROVAR,0.0265,36,0.21,0.21,6342.0,23858.0,0.79,9,Sim,0.084167
P001698,2,0.266593,NEGAR,0.035,24,0.21,0.21,20958.0,78842.0,0.79,2,Sim,0.217798
P001699,3,0.190855,NEGAR,0.0336,36,0.21,0.3026,8382.02,19317.98,0.6974,4,Sim,0.190855
P001700,1,0.392443,NEGAR,0.035,60,0.21,0.21,10458.0,39342.0,0.79,7,Sim,0.382329
P001701,9,0.043406,APROVAR,0.0236,48,0.0,0.407,19576.7,28523.3,0.593,0,Não,0.043406
P001702,6,0.073738,APROVAR,0.0265,24,0.21,0.21,19572.0,73628.0,0.79,5,Sim,0.074201
P001703,8,0.044919,APROVAR,0.0247,48,0.0,0.209,11954.8,45245.2,0.791,2,Não,0.044919
P001704,6,0.069143,APROVAR,0.0265,36,0.21,0.21,4977.0,18723.0,0.79,4,Sim,0.069265
P001705,1,0.307183,NEGAR,0.035,48,0.21,0.21,5376.0,20224.0,0.79,3,Sim,0.255105
P001706,7,0.063814,APROVAR,0.0256,60,0.0,0.2417,8000.27,25099.73,0.7583,1,Não,0.063814
P001707,7,0.063478,APROVAR,0.0256,36,0.0,0.0515,1395.65,25704.35,0.9485,1,Não,0.063478
P001708,10,0.023638,APROVAR,0.0227,24,0.0,0.117,5545.8,41854.2,0.883,3,Não,0.023638
P001709,1,0.345377,NEGAR,0.035,48,0.21,0.2918,16953.58,41146.42,0.7082,3,Sim,0.345377
P001710,10,0.033743,APROVAR,0.0227,24,0.0,0.2734,14052.76,37347.24,0.7266,4,Não,0.033743
P001711,9,0.044414,APROVAR,0.0236,48,0.0,0.2247,14538.09,50161.91,0.7753,2,Não,0.044414
P001712,2,0.297721,NEGAR,0.035,48,0.21,0.21,6804.0,25596.0,0.79,11,Sim,0.346031
P001713,3,0.147474,NEGAR,0.0336,36,0.21,0.21,4620.0,17380.0,0.79,2,Não,0.114923
P001714,6,0.082895,APROVAR,0.0265,24,0.21,0.21,7539.0,28361.0,0.79,12,Não,0.039577
P001715,8,0.053549,APROVAR,0.0247,48,0.0,0.083,2124.8,23475.2,0.917,2,Sim,0.053549
P001716,2,0.294969,NEGAR,0.035,48,0.21,0.2904,6388.8,15611.2,0.7096,2,Sim,0.294969
P001717,8,0.050473,APROVAR,0.0247,48,0.0,0.3165,10919.25,23580.75,0.6835,0,Sim,0.050473
P001718,5,0.101978,APROVAR,0.0282,60,0.21,0.21,8253.0,31047.0,0.79,6,Sim,0.092468
P001719,4,0.123996,NEGAR,0.0303,48,0.21,0.3603,13078.89,23221.11,0.6397,9,Não,0.123996
P001720,9,0.038539,APROVAR,0.0236,36,0.0,0.3578,17317.52,31082.48,0.6422,2,Sim,0.038539
P001721,6,0.068965,APROVAR,0.0265,48,0.21,0.3945,18620.4,28579.6,0.6055,3,Não,0.068965
